W180,W180
E_eV,Sig_b
1e-05,1544.05792
1.03125e-05,1520.51356
1.0625e-05,1498.01573
1.09375e-05,1476.48939
1.125e-05,1455.86667
1.15625e-05,1436.08689
1.1875e-05,1417.09253
1.21875e-05,1398.8342
1.25e-05,1381.26563
1.28125e-05,1364.34367
1.3125e-05,1348.03027
1.34375e-05,1332.28944
1.375e-05,1317.0883
1.4375e-05,1288.18883
1.5e-05,1261.115
1.5625e-05,1235.68376
1.625e-05,1211.73577
1.6875e-05,1189.13124
1.75e-05,1167.74887
1.8125e-05,1147.48377
1.875e-05,1128.24036
1.9375e-05,1109.93739
2e-05,1092.49984
2.09375e-05,1067.82305
2.1875e-05,1044.75164
2.28125e-05,1023.11817
2.375e-05,1002.78006
2.46875e-05,983.61281
2.5625e-05,965.50819
2.65625e-05,948.37174
2.75e-05,932.11998
2.84375e-05,916.67963
2.9375e-05,901.98511
3.03125e-05,887.97856
3.125e-05,874.60775
3.21875e-05,861.82612
3.3125e-05,849.59175
3.40625e-05,837.8666
3.5e-05,826.61624
3.59375e-05,815.80972
3.6875e-05,805.41849
3.78125e-05,795.41665
3.875e-05,785.78044
3.96875e-05,776.48829
4.0625e-05,767.52006
4.25e-05,750.4836
4.4375e-05,734.54034
4.625e-05,719.57807
4.8125e-05,705.50038
5e-05,692.22354
5.15625e-05,681.71825
5.3125e-05,671.68068
5.46875e-05,662.07722
5.625e-05,652.87745
5.78125e-05,644.05393
5.9375e-05,635.58171
6.09375e-05,627.43817
6.25e-05,619.60247
6.40625e-05,612.05579
6.5625e-05,604.78088
6.71875e-05,597.76182
6.875e-05,590.98392
7.1875e-05,578.09876
7.5e-05,566.02937
7.8125e-05,554.69326
8.125e-05,544.01915
8.4375e-05,533.94519
8.75e-05,524.41716
9.0625e-05,515.38761
9.375e-05,506.81453
9.6875e-05,498.66086
0.0001,490.89353
0.000103125,483.48296
0.00010625,476.40267
0.000109375,469.62903
0.0001125,463.14038
0.000115625,456.91743
0.00011875,450.94252
0.000121875,445.19963
0.000125,439.67408
0.000128125,434.35263
0.00013125,429.22307
0.000134375,424.274
0.0001375,419.49527
0.00014375,410.41115
0.00015,401.90277
0.00015625,393.91196
0.0001625,386.38834
0.00016875,379.2881
0.000175,372.57319
0.00018125,366.20997
0.0001875,360.1688
0.00019375,354.42344
0.0002,348.95069
0.000209375,341.20738
0.00021875,333.96932
0.000228125,327.18394
0.0002375,320.80604
0.000246875,314.79648
0.00025625,309.12105
0.000265625,303.75013
0.000275,298.65732
0.000284375,293.81957
0.00029375,289.21629
0.000303125,284.82908
0.0003125,280.64174
0.000321875,276.63935
0.00033125,272.80891
0.000340625,269.13835
0.00035,265.61692
0.000359375,262.23471
0.00036875,258.98293
0.000378125,255.85328
0.0003875,252.83842
0.000396875,249.93149
0.00040625,247.12616
0.000425,241.79771
0.00044375,236.81211
0.0004625,232.13401
0.00048125,227.7332
0.0005,223.58324
0.000515625,220.29998
0.00053125,217.16319
0.000546875,214.16237
0.0005625,211.28802
0.000578125,208.53138
0.00059375,205.88461
0.000609375,203.34077
0.000625,200.89334
0.000640625,198.53621
0.00065625,196.26418
0.000671875,194.07207
0.0006875,191.95548
0.00071875,187.93192
0.00075,184.16336
0.00078125,180.62407
0.0008125,177.29157
0.00084375,174.14664
0.000875,171.17221
0.00090625,168.35354
0.0009375,165.67742
0.00096875,163.13218
0.001,160.70766
0.00103125,158.39442
0.0010625,156.18434
0.00109375,154.06991
0.001125,152.04444
0.00115625,150.10193
0.0011875,148.23673
0.00121875,146.44404
0.00125,144.71912
0.00128125,143.05781
0.0013125,141.45636
0.00134375,139.91131
0.001375,138.41934
0.0014375,135.58295
0.0015,132.92622
0.0015625,130.43083
0.001625,128.08109
0.0016875,125.86344
0.00175,123.76595
0.0018125,121.77808
0.001875,119.89065
0.0019375,118.09545
0.002,116.38531
0.00209375,113.96523
0.0021875,111.70271
0.00228125,109.58141
0.002375,107.58715
0.00246875,105.70778
0.0025625,103.93265
0.00265625,102.2525
0.00275,100.65914
0.00284375,99.14534
0.0029375,97.70471
0.00303125,96.33153
0.003125,95.02071
0.00321875,93.76765
0.0033125,92.56824
0.00340625,91.41877
0.0035,90.31584
0.00359375,89.25641
0.0036875,88.23768
0.00378125,87.25712
0.003875,86.3124
0.00396875,85.40138
0.0040625,84.52211
0.00425,82.85173
0.0044375,81.28844
0.004625,79.82128
0.0048125,78.44075
0.005,77.13867
0.00515625,76.10833
0.0053125,75.12383
0.00546875,74.18184
0.005625,73.27941
0.00578125,72.41383
0.0059375,71.58267
0.00609375,70.7837
0.00625,70.0149
0.00640625,69.27441
0.0065625,68.56054
0.00671875,67.87171
0.006875,67.20651
0.0071875,65.94175
0.0075,64.75685
0.0078125,63.64372
0.008125,62.5954
0.0084375,61.60579
0.00875,60.66963
0.0090625,59.78228
0.009375,58.93963
0.0096875,58.13806
0.01,57.37433
0.0103125,56.64558
0.010625,55.9492
0.0109375,55.28289
0.01125,54.64453
0.0115625,54.03224
0.011875,53.44426
0.0121875,52.87906
0.0125,52.33518
0.0128125,51.8113
0.013125,51.30624
0.0134375,50.81888
0.01375,50.3482
0.014375,49.45321
0.015,48.6146
0.015625,47.82665
0.01625,47.08445
0.016875,46.38372
0.0175,45.72075
0.018125,45.09227
0.01875,44.495397
0.019375,43.927553
0.02,43.386474
0.0206625,42.839883
0.021325,42.318882
0.0219875,41.821546
0.02265,41.346128
0.0233125,40.891053
0.023975,40.454918
