Am241,Am241
E_eV,Sig_b
0.03591329,570.905703
0.03697462,561.434639
0.03803594,552.401332
0.03909727,543.776204
0.0401586,535.533011
0.04121993,527.647496
0.04228125,520.097641
0.0432461,513.507681
0.04421094,507.163447
0.04517579,501.051661
0.04614063,495.159855
0.04710548,489.476752
0.04807032,483.992305
0.04903516,478.696949
0.05,473.581824
0.0515625,465.659927
0.053125,458.157648
0.0546875,451.046103
0.05625,444.299042
0.0578125,437.892622
0.059375,431.80533
0.0609375,426.017626
0.0625,420.511719
0.0640625,415.271319
0.065625,410.281722
0.0671875,405.529353
0.06875,401.001633
0.0703125,396.687209
0.071875,392.575802
0.0734375,388.65747
0.075,384.923543
0.0765625,381.365688
0.078125,377.976443
0.0796875,374.74879
0.08125,371.676465
0.0828125,368.753548
0.084375,365.974799
0.0859375,363.335302
0.0875,360.830504
0.0890625,358.4557
0.090625,356.206557
0.09375,352.068337
0.096875,348.386376
0.1,345.138631
0.1023438,342.977121
0.1046875,341.043657
0.1070313,339.332392
0.109375,337.838292
0.1125,336.176585
0.115625,334.885563
0.11875,333.959276
0.121875,333.394276
0.125,333.189049
0.128125,333.344175
0.13125,333.862153
0.134375,334.747592
0.1375,336.007211
0.140625,337.649441
0.14375,339.684923
0.146875,342.126112
0.15,344.988173
0.1523438,347.422249
0.1546875,350.113076
0.1570313,353.0714
0.159375,356.30838
0.1617188,359.836475
0.1640625,363.668254
0.1664063,367.81829
0.16875,372.302067
0.1703125,375.485353
0.171875,378.830294
0.1734375,382.342923
0.175,386.029477
0.1771485,391.395363
0.1792969,397.121582
0.1814454,403.229549
0.1835938,409.740995
0.1857423,416.681159
0.1878907,424.075995
0.1900391,431.955178
0.1921875,440.350394
0.1941407,448.460271
0.1960938,457.05387
0.1980469,466.162883
0.2,475.821418
0.2017775,485.120401
0.2035549,494.935186
0.2053323,505.299278
0.2071097,516.248307
0.2088871,527.821321
0.2106645,540.060392
0.2124419,553.011419
0.2142193,566.72463
0.215108,573.883841
0.2159967,581.254586
0.2168854,588.844217
0.2177741,596.660986
0.2186628,604.713051
0.2195515,613.009269
0.2204402,621.558703
0.2213289,630.370919
0.2222176,639.456086
0.2231063,648.824674
0.223995,658.487561
0.2248837,668.456426
0.2257724,678.743455
0.2266611,689.361236
0.2275498,700.323262
0.2284385,711.643433
0.2292869,722.797983
0.2301352,734.304463
0.2309835,746.17818
0.2318318,758.434139
0.2326801,771.087754
0.2335284,784.155342
0.2343767,797.654027
0.235225,811.601843
0.2360733,826.017827
0.2369216,840.921826
0.2377699,856.334696
0.2386182,872.278601
0.2394665,888.776714
0.2403148,905.853418
0.2411631,923.534308
0.2420114,941.846589
0.2429001,961.739074
0.2437888,982.390172
0.2446775,1003.836163
0.2455662,1026.116045
0.2464549,1049.268934
0.2473436,1073.339267
0.2482323,1098.3714
0.249121,1124.412713
0.2500905,1154.032172
0.25106,1184.982212
0.2519487,1214.58317
0.2528374,1245.423165
0.2537261,1277.565714
0.2546148,1311.074367
0.2555035,1346.020705
0.2563922,1382.477346
0.2572809,1420.519946
0.2581696,1460.229193
0.2590584,1501.693851
0.2599471,1544.993633
0.2608358,1590.223381
0.2617245,1637.477952
0.2626132,1686.856245
0.2635019,1738.460196
0.2643906,1792.393809
0.2652793,1848.765082
0.266168,1907.682082
0.2670567,1969.255922
0.2679454,2033.595714
0.2688341,2100.810609
0.2697228,2171.010775
0.2706115,2244.297381
0.2715002,2320.7706
0.2723888,2400.512512
0.2732775,2483.622361
0.2741662,2570.16114
0.2750549,2660.183837
0.2759436,2753.72534
0.2768323,2850.801393
0.277721,2951.400592
0.2786097,3055.483363
