U241,U241
E_eV,Sig_b
0.014169,654.7711031
0.01476457,641.5143188
0.015419,627.804024
0.01607343,614.8795299
0.01672786,602.6421403
0.01738229,591.0113725
0.01803672,579.9269647
0.01869115,569.3465711
0.01934558,559.2410574
0.02,549.5888975
0.0206625,540.2592629
0.021325,531.3534457
0.0219875,522.8491211
0.02265,514.7226654
0.0233125,506.950355
0.023975,499.5089668
0.0246375,492.376578
0.0253,485.5329699
0.02636133,475.1250809
0.02742266,465.3419963
0.02848399,456.1242565
0.02954532,447.4202101
0.03060665,439.1849135
0.03166798,431.378626
0.03272931,423.966015
0.03379063,416.9152487
0.03480372,410.4957815
0.03581681,404.3568805
0.0368299,398.4782273
0.03784298,392.8418042
0.03885607,387.4314953
0.03986915,382.2329871
0.04088224,377.2332663
0.04189532,372.4202236
0.04290841,367.7828453
0.04392149,363.3108235
0.04493458,358.994749
0.04594766,354.8257133
0.04797383,346.8974274
0.05,339.4682097
0.0515625,334.0480883
0.053125,328.8747992
0.0546875,323.9304239
0.05625,319.1986482
0.0578125,314.6647575
0.059375,310.3155391
0.0609375,306.1387817
0.0625,302.1237756
0.0640625,298.2604114
0.065625,294.5395791
0.0671875,290.9528723
0.06875,287.4915827
0.071875,280.9027146
0.075,274.6611793
0.078125,268.6356645
0.08125,262.7623147
0.084375,257.0807566
0.0875,251.6557393
0.090625,246.51328
0.09375,241.6447683
0.096875,237.0305873
0.1,232.6501173
0.103125,228.4848425
0.10625,224.5182466
0.109375,220.7354158
0.1125,217.1227396
0.115625,213.6683056
0.11875,210.3612055
0.121875,207.1914278
0.125,204.1499666
0.128125,201.228714
0.13125,198.4200625
0.134375,195.7171061
0.1375,193.1136395
0.140625,190.6038567
0.14375,188.1824542
0.146875,185.8448271
0.15,183.5868706
0.153125,181.4046825
0.15625,179.2938592
0.1625,175.2684888
0.16875,171.4809319
0.175,167.9073671
0.18125,164.498654
0.1875,161.1505067
0.19375,157.7950682
0.2,154.4947896
0.2064454,151.2326317
0.2128907,148.13592
0.219336,145.1962454
0.2257813,142.4012972
0.2322266,139.7400663
0.2386719,137.2027452
0.2451172,134.7810239
0.2515625,132.4680986
0.2574219,130.4534789
0.2632813,128.5154269
0.2691407,126.6482375
0.275,124.8485067
0.284375,122.1012727
0.29375,119.50537119
0.303125,117.04789148
0.3125,114.71752181
0.321875,112.50345396
0.33125,110.38877391
0.35,106.23097064
0.359375,104.1284491
0.36875,102.08714317
0.378125,100.13442246
0.3875,98.26881557
0.396875,96.48472878
0.40625,94.7768066
0.415625,93.14013489
0.425,91.5702289
0.434375,90.06298715
0.44375,88.61464548
0.453125,87.22172096
0.4625,85.88122107
0.471875,84.59117316
0.48125,83.35012601
0.5,81.00346721
0.53125,77.4193774
0.5625,74.11688608
0.59375,70.78734271
0.625,67.7177535
0.65625,64.93030356
0.6875,62.39629803
0.71875,60.08266728
0.75,57.96182925
0.78125,56.01063353
0.8125,54.20947367
0.875,50.95136196
0.9375,47.75670039
0.96875,46.3006294
1.0,44.94283747
1.03125,43.67415699
1.0625,42.48629907
1.09375,41.37205972
1.125,40.33003488
1.1875,38.41874864
1.25,36.70847047
1.375,33.59568799
1.4375,32.1746486
1.5,30.88741396
1.5625,29.72005866
1.625,28.65724896
1.6875,27.68606212
1.75,26.79559605
1.8125,25.97657099
1.875,25.2087429
1.9375,24.42798495
2.0,23.69355119
2.046875,23.17823116
2.09375,22.69485252
2.152344,22.13055609
2.210938,21.59692626
2.269532,21.09852306
2.328125,20.63447096
2.386719,20.19499352
2.445313,19.78480105
2.5625,19.03145918
2.609375,18.7544301
2.65625,18.49637517
2.75,18.01808883
2.846505,17.51220395
2.928192,17.11149915
3.009879,16.73879437
3.091566,16.39197093
3.173253,16.0685278
3.25494,15.766299229
3.336627,15.483469778
3.418314,15.218458251
3.5,14.969812581
3.59375,14.702776638
3.6875,14.453523451
3.78125,14.220445957
3.875,14.002444748
4.0625,13.594285955
4.15625,13.397206353
4.25,13.211886424
4.34375,13.037738508
4.4375,12.873904661
4.578125,12.645952065
4.71875,12.437101903
4.859375,12.245892771
5.0,12.070524793
5.09346,11.962281736
5.18692,11.860319086
5.28038,11.764435375
5.37384,11.674496651
5.4673,11.590440632
5.56076,11.512288814
5.65422,11.44014663
5.74768,11.37339194
5.765816,11.36078923
5.782228,11.34953254
5.823259,11.32222054
5.86429,11.2962101
5.946351,11.24846974
6.027118,11.20894838
6.107884,11.17925225
6.18865,11.15739204
6.269416,11.14381017
6.3098,11.14054797
6.350183,11.13965895
6.390566,11.14053734
6.430949,11.14300465
6.471332,11.14815259
6.511715,11.15704948
6.552098,11.17035772
6.592481,11.18859565
6.639319,11.21664094
6.686157,11.25307842
6.732995,11.29916113
6.779832,11.35631307
6.82667,11.42614916
6.873508,11.51116871
6.896927,11.56033294
6.920346,11.61443219
6.943765,11.67389126
6.967183,11.73919869
6.999384,11.8396011
7.031585,11.9538339
7.063786,12.08389739
7.095987,12.23216493
7.128188,12.40146875
7.160389,12.59520814
7.19259,12.81749592
7.20869,12.9408629
7.22479,13.07332418
7.251137,13.31185218
7.277483,13.58097302
7.303829,13.88553139
7.330175,14.23128237
7.343348,14.42171073
7.356521,14.6251481
7.369694,14.84272538
7.382867,15.07572098
7.39604,15.325576
7.409213,15.59390226
7.422386,15.88248844
7.435559,16.19332016
7.45166,16.60669022
7.46776,17.06115597
7.483861,17.5620848
7.499961,18.1156138
7.516062,18.7291136
7.532162,19.4111183
7.548263,20.1719494
