Ag107,Ag107
E_eV,Sig_b
1e-05,1939.06787
1.03125e-05,1909.47904
1.0625e-05,1881.20556
1.09375e-05,1854.15347
1.125e-05,1828.23599
1.15625e-05,1803.37751
1.1875e-05,1779.50656
1.21875e-05,1756.55982
1.25e-05,1734.47907
1.28125e-05,1713.21222
1.3125e-05,1692.70924
1.34375e-05,1672.92521
1.375e-05,1653.82027
1.4375e-05,1617.49757
1.5e-05,1583.4695
1.5625e-05,1551.50425
1.625e-05,1521.40265
1.6875e-05,1492.98907
1.75e-05,1466.11234
1.8125e-05,1440.6387
1.875e-05,1416.44968
1.9375e-05,1393.44111
2e-05,1371.52006
2.09375e-05,1340.49849
2.1875e-05,1311.49465
2.28125e-05,1284.2972
2.375e-05,1258.7274
2.46875e-05,1234.62999
2.5625e-05,1211.86617
2.65625e-05,1190.32047
2.75e-05,1169.88572
2.84375e-05,1150.47099
2.9375e-05,1131.99359
3.03125e-05,1114.381
3.125e-05,1097.56688
3.21875e-05,1081.493
3.3125e-05,1066.10727
3.40625e-05,1051.3617
3.5e-05,1037.21241
3.59375e-05,1023.62158
3.6875e-05,1010.55207
3.78125e-05,997.97221
3.875e-05,985.85208
3.96875e-05,974.16412
4.0625e-05,962.88351
4.25e-05,941.45326
4.4375e-05,921.39704
4.625e-05,902.57405
4.8125e-05,884.86297
5e-05,868.15855
5.15625e-05,854.94056
5.3125e-05,842.31055
5.46875e-05,830.22625
5.625e-05,818.64958
5.78125e-05,807.54583
5.9375e-05,796.88375
6.09375e-05,786.63485
6.25e-05,776.7731
6.40625e-05,767.27472
6.5625e-05,758.11796
6.71875e-05,749.2829
6.875e-05,740.75107
7.1875e-05,724.53074
7.5e-05,709.33619
7.8125e-05,695.06381
8.125e-05,681.62395
8.4375e-05,668.93874
8.75e-05,656.94018
9.0625e-05,645.56865
9.375e-05,634.77129
9.6875e-05,624.50133
0.0001,614.71744
0.000103125,605.38227
0.00010625,596.46273
0.000109375,587.92882
0.0001125,579.75359
0.000115625,571.91266
0.00011875,564.38377
0.000121875,557.14682
0.000125,550.18343
0.000128125,543.47687
0.00013125,537.01173
0.000134375,530.77382
0.0001375,524.75019
0.00014375,513.29879
0.00015,502.57224
0.00015625,492.49705
0.0001625,483.01008
0.00016875,474.05622
0.000175,465.58751
0.00018125,457.56163
0.0001875,449.94144
0.00019375,442.69378
0.0002,435.78937
0.000209375,426.01969
0.00021875,416.88648
0.000228125,408.32362
0.0002375,400.27423
0.000246875,392.68893
0.00025625,385.5249
0.000265625,378.74462
0.000275,372.31505
0.000284375,366.20694
0.00029375,360.39448
0.000303125,354.85454
0.0003125,349.56654
0.000321875,344.511915
0.00033125,339.674059
0.000340625,335.03789
0.00035,330.589853
0.000359375,326.317518
0.00036875,322.209677
0.000378125,318.25604
0.0003875,314.447235
0.000396875,310.774602
0.00040625,307.230199
0.000425,300.497662
0.00044375,294.197785
0.0004625,288.286174
0.00048125,282.724645
0.0005,277.479915
0.000515625,273.330339
0.00053125,269.365824
0.000546875,265.572937
0.0005625,261.939772
0.000578125,258.455345
0.00059375,255.109788
0.000609375,251.894149
0.000625,248.800294
0.000640625,245.820696
0.00065625,242.948442
0.000671875,240.177331
0.0006875,237.501467
0.00071875,232.414846
0.00075,227.650569
0.00078125,223.175822
0.0008125,218.962665
0.00084375,214.986522
0.000875,211.225867
0.00090625,207.66212
0.0009375,204.278535
0.00096875,201.060497
0.001,197.994918
0.00103125,195.070132
0.0010625,192.275792
0.00109375,189.602267
0.001125,187.041341
0.00115625,184.585209
0.0011875,182.226979
0.00121875,179.960166
0.00125,177.779195
0.00128125,175.678697
0.0013125,173.65381
0.00134375,171.700179
0.001375,169.813751
0.0014375,166.227425
0.0015,162.868305
