Gd153,Gd153
E_eV,Sig_b
1e-05,634944.55231
1.033032e-05,624716.968877
1.066064e-05,614968.617885
1.099096e-05,605663.096878
1.132128e-05,596768.003644
1.16516e-05,588254.036198
1.198192e-05,580094.692737
1.231224e-05,572265.971635
1.264255e-05,564746.471448
1.297287e-05,557515.790783
1.330319e-05,550556.228443
1.363351e-05,543851.283293
1.396382e-05,537385.854328
1.429414e-05,531145.740586
1.462446e-05,525118.341198
1.528509e-05,513655.382379
1.587446e-05,504039.046584
1.646382e-05,494944.045947
1.705319e-05,486324.777386
1.764255e-05,478141.438188
1.823192e-05,470358.125947
1.882128e-05,462943.638545
1.941064e-05,455869.474046
2e-05,449110.530751
2.065633e-05,441926.86016
2.131266e-05,435077.712064
2.196899e-05,428537.984752
2.262531e-05,422285.176711
2.328164e-05,416298.586537
2.393796e-05,410560.213012
2.459429e-05,405053.154999
2.525061e-05,399762.311486
2.590694e-05,394673.981529
2.656326e-05,389775.464291
2.721959e-05,385055.258982
2.787591e-05,380502.964906
2.918856e-05,371863.607854
3.050121e-05,363788.388496
3.149588e-05,358008.817596
3.249055e-05,352496.764546
3.348522e-05,347232.428004
3.447988e-05,342197.806742
3.547455e-05,337376.499685
3.646922e-05,332753.905839
3.746389e-05,328316.824324
3.845855e-05,324053.154321
3.945322e-05,319951.895083
4.044789e-05,316002.945953
4.144256e-05,312197.206297
4.243722e-05,308526.175563
4.442656e-05,301557.738801
4.641589e-05,295042.631979
4.820795e-05,289522.688516
5e-05,284302.464794
5.166348e-05,279702.180434
5.332695e-05,275319.110333
5.499043e-05,271136.653388
5.66539e-05,267139.908624
5.831738e-05,263315.675129
5.998085e-05,259651.852127
6.164432e-05,256137.538869
6.330779e-05,252762.834709
6.497127e-05,249518.739055
6.663474e-05,246397.051352
6.829821e-05,243390.271099
6.996168e-05,240491.597856
7.162516e-05,237694.531192
7.328863e-05,234993.470728
7.661557e-05,229857.967019
7.953863e-05,225614.917489
8.246168e-05,221599.782616
8.538474e-05,217793.06108
8.830779e-05,214177.251753
9.123085e-05,210736.953612
9.41539e-05,207458.465763
9.707695e-05,204329.487399
0.0001,201338.917803
0.0001033032,198113.735888
0.0001066064,195039.963511
0.0001099096,192106.099913
0.0001132128,189301.844439
0.000116516,186618.096473
0.0001198192,184046.255482
0.0001231224,181578.920986
0.0001264255,179209.192532
0.0001297287,176930.769702
0.0001330319,174737.952155
0.0001363351,172625.539535
0.0001396382,170588.731553
0.0001462446,166724.728348
0.0001528509,163114.840572
0.0001587446,160086.984667
0.0001646382,157223.738651
0.0001705319,154510.8016
0.0001764255,151935.372714
0.0001823192,149486.251307
0.0001882128,147153.636732
0.0001941064,144928.428446
0.0002,142802.725935
0.0002065633,140543.818056
0.0002131266,138390.616252
0.0002196899,136334.920022
0.0002262531,134369.828943
0.0002328164,132488.742616
0.0002393796,130686.060692
0.0002459429,128956.282842
0.0002525061,127294.708779
0.0002590694,125697.138247
0.0002656326,124159.371008
0.0002721959,122677.906827
0.0002787591,121249.345529
0.0002918856,118538.930824
0.0003050121,116006.625607
0.0003149588,114194.651529
0.0003249055,112467.181864
0.0003348522,110817.716251
0.0003447988,109240.754351
0.0003547455,107730.995876
0.0003646922,106283.84057
0.0003746389,104895.188186
0.0003845855,103561.238527
0.0003945322,102278.391378
0.0004044789,101043.646584
0.0004144256,99853.8839715
0.0004243722,98706.6333952
0.0004442656,96529.817847
0.0004641589,94495.7890026
0.0004820795,92773.3820662
0.0005,91145.3594278
0.0005166348,89711.3940432
0.0005332695,88345.8016857
0.0005499043,87043.3421072
0.000566539,85799.3550504
0.0005831738,84609.6203185
0.0005998085,83470.3377257
0.0006164432,82378.0870966
0.0006330779,81329.7482762
0.0006497127,80322.4711403
0.0006663474,79353.6855646
0.0006829821,78421.0114255
0.0006996168,77522.3086396
0.0007328863,75818.9567253
0.0007661557,74229.5391994
0.0007953863,72917.5493977
0.0008246168,71677.1622581
0.0008538474,70502.177491
0.0008830779,69387.1148778
0.0009123085,68327.1142008
0.000941539,67317.8653033
0.0009707695,66355.4979993
0.001,65436.5521732
0.001033032,64446.4559062
0.001066064,63503.7911934
0.001099096,62604.9778993
0.001132128,61746.7559087
0.00116516,60926.2351073
0.001198192,60140.7754006
0.001231224,59387.9967052
0.001264255,58665.7789276
0.001297287,57972.0920147
0.001330319,57305.1859038
0.001363351,56663.4105221
0.001396382,56045.2758375
0.001462446,54874.4583406
0.001528509,53782.973098
0.001587446,52869.350093
0.001646382,52007.0884985
0.001705319,51191.6481572
0.001764255,50419.0989731
0.001823192,49685.8908304
0.001882128,48988.9236245
0.001941064,48325.3972909
0.002,47692.8217457
0.002065633,47022.0475613
0.002131266,46384.0842082
0.002196899,45776.4416025
0.002262531,45196.8997008
0.002328164,44643.4384498
0.002393796,44114.2577869
0.002459429,43607.6876693
0.002525061,43122.2580747
0.002590694,42656.5989711
0.002656326,42209.4803065
0.002787591,41366.3942174
0.002918856,40584.9896247
0.003050121,39858.5163778
0.003149588,39341.0274456
0.003249055,38849.529164
0.003348522,38382.06148
0.003447988,37936.8743409
0.003547455,37512.347734
0.003646922,37107.0616272
0.003746389,36719.7159685
0.003845855,36349.1207659
0.003945322,35994.1959678
0.004044789,35653.9715827
0.004243722,35014.0739258
0.004442656,34423.0576652
0.004641589,33875.5727025
0.004820795,33415.8133254
0.005,32984.7248731
0.005166348,32607.9835247
0.005332695,32251.9428986
0.005499043,31914.9929721
0.00566539,31595.6737231
0.005831738,31292.6951194
0.005998085,31004.8871593
0.006164432,30731.1898211
0.006330779,30470.6430733
0.006663474,29985.5713334
0.006996168,29543.5618402
0.007328863,29139.4745154
0.007661557,28768.9592723
0.007953863,28468.1717856
0.008246168,28188.2558208
0.008538474,27927.2913448
0.008830779,27683.5683451
0.009123085,27455.576759
0.00941539,27241.9865847
0.009707695,27041.5877899
0.01,26853.2803331
0.01033032,26653.8191086
0.01066064,26467.2995227
0.01099096,26292.5515538
0.01132128,26128.56514
0.01198192,25829.1868615
0.01264255,25562.6343465
0.01330319,25323.4472256
0.01396382,25106.9851013
0.01462446,24909.2675471
0.01528509,24726.8640979
0.01646382,24430.1918455
0.01764255,24158.3779603
0.02,23644.3011202
0.021325,23351.4480923
0.02265,23043.5953202
0.023975,22713.4866044
0.0253,22355.6857388
0.0264,22034.8570735
0.0275,21690.9857727
0.0286,21323.418818
0.0297,20932.163542
0.03060977,20591.050379
0.03151953,20234.7051192
0.0324293,19863.9168448
0.03333906,19479.7048682
0.03424883,19083.2287118
0.03515859,18675.7981378
0.03606835,18258.8230887
0.03697811,17833.7837268
0.03774501,17470.3467992
0.03851191,17103.1731425
0.03927881,16733.2031378
0.04004571,16361.3272362
0.04081261,15988.4459688
0.04157951,15615.4098866
0.04234641,15243.0396206
0.04311331,14872.1358118
0.04397415,14458.4538006
0.04483499,14048.5065907
0.04569583,13643.2051931
0.04655666,13243.3606487
0.0474175,12849.683978
0.04827833,12462.8462015
0.04913917,12083.3883197
0.05,11711.7913029
0.0506688,11428.786921
0.05133759,11150.9380187
0.05200638,10878.3850159
0.05267517,10611.228293
0.05334397,10349.5482398
0.05401276,10093.4352265
0.05468155,9842.92358284
0.05535034,9598.04464883
0.05601914,9358.80772425
0.05668793,9125.21811891
0.05735672,8897.25509261
0.05802551,8674.88892515
0.05869431,8458.07684638
0.0593631,8246.77308615
0.06003189,8040.91386436
0.06070068,7840.43037091
0.06157256,7587.01234374
0.06244444,7342.41454033
0.06331632,7106.43732034
0.06418819,6878.86796333
0.06506007,6659.48074875
0.06593195,6448.04591598
0.06680383,6244.32867441
0.0676757,6048.09220345
0.06860248,5847.42712651
0.06952925,5654.65440052
0.07045603,5469.48316514
0.0713828,5291.6345301
0.07230958,5120.82459518
0.07323635,4956.78543012
0.07416313,4799.24510461
0.0750899,4647.94565824
0.07561435,4564.99615532
0.0761388,4483.91857507
0.07666325,4404.66894739
0.0771877,4327.20524219
0.07771215,4251.48348936
0.0782366,4177.46367881
0.0792855,4034.36585424
0.0803344,3897.59676792
0.0813833,3766.85237946
0.0824322,3641.84665862
0.08348109,3522.30154525
0.08406883,3457.60387693
0.08465656,3394.49531091
0.08524429,3332.92884714
0.08583202,3272.8644656
0.08641976,3214.25915624
0.08700749,3157.07590899
0.08759522,3101.27271378
0.08818295,3046.81356055
0.08877069,2993.6614292
0.08935842,2941.78029966
0.08994615,2891.13618182
0.09053388,2841.69504561
0.09112161,2793.42388095
0.09170934,2746.29167775
0.09229707,2700.26642595
0.0928848,2655.31910549
0.0937742,2589.28745647
0.0946636,2525.5598703
0.095553,2464.04329693
0.0964424,2404.65068634
0.0973318,2347.2970085
0.0982212,2291.90021342
0.0991106,2238.38225109
0.1,2186.67008148
0.100713,2146.47065759
0.1014259,2107.35635537
0.1021388,2069.28613474
0.1028517,2032.22996564
0.1035647,1996.14983797
0.1042776,1961.02573166
0.1049905,1926.82262662
0.1057034,1893.51349277
0.1064164,1861.06632002
0.1071293,1829.46309831
0.1078422,1798.67479757
0.1085551,1768.67639777
0.109268,1739.44388886
0.1099809,1710.95524082
0.1106938,1683.18845364
0.1114067,1656.12149731
0.1121842,1627.37648869
0.1129616,1599.4184511
0.113739,1572.21733457
0.1145164,1545.75012912
0.1152939,1519.99181473
0.1160713,1494.92537143
0.1168487,1470.52678919
0.1176261,1446.77503801
0.1184036,1423.64809784
0.119181,1401.13296866
0.1199584,1379.2076204
0.1207358,1357.85503302
0.1215133,1337.05418644
0.1222907,1316.79608063
0.1238455,1277.83302103
0.1246893,1257.52112512
0.125533,1237.77402986
0.1263768,1218.57070519
0.1272205,1199.8981511
0.1280643,1181.73531756
0.128908,1164.07221457
0.1297517,1146.89082214
0.1305954,1130.17712028
0.1322829,1098.09672832
0.1339704,1067.72790885
0.1356579,1038.97257195
0.1373453,1011.74259763
0.1383144,996.76099904
0.1392835,982.238731218
0.1402526,968.162174115
0.1412217,954.517407674
0.1421908,941.291421836
0.1431599,928.471596542
0.144129,916.045711737
0.1450981,904.002257374
0.1460672,892.330113413
0.1470363,881.018579826
0.1489745,859.436953719
0.1509127,839.180359043
0.1528509,820.177805922
0.1539224,810.186923878
0.1549938,800.549652405
0.1560653,791.254481529
0.1571367,782.293681273
0.1582082,773.656451648
0.1592796,765.335772655
0.160351,757.322544279
0.1614224,749.609036498
0.1635653,735.050552577
0.1657081,721.605450551
0.167851,709.221530049
0.1699938,697.853730762
0.1718427,688.829083579
0.1736916,680.504587131
0.1755405,672.857991476
0.1773894,665.868676735
0.1792383,659.517803069
0.1810872,653.788430644
0.1829361,648.665129598
0.184785,644.133980011
0.1864492,640.551351638
0.1881133,637.430234407
0.1897775,634.763018229
0.1914416,632.54340298
0.1931058,630.765452526
0.1947699,629.424379725
0.1964341,628.515669456
0.1980982,628.035821618
0.2,628.008594246
0.2014466,628.357910097
0.2028931,629.025502199
0.2043397,630.010365572
0.2057862,631.311610251
0.2072328,632.928736281
0.2086793,634.861351713
0.2101259,637.1092626
0.2115724,639.672077988
0.213019,642.550106918
0.2144655,645.742961415
0.2159121,649.25095249
0.2173586,653.073797138
0.2188052,657.211907338
0.2202517,661.664603052
0.2216983,666.432201234
0.2231448,671.513622826
0.2254622,680.307484299
0.2277795,689.901061394
0.2300968,700.287662839
0.2324141,711.456712354
0.2347314,723.393344637
0.2370487,736.077202342
0.239366,749.481640062
0.2416833,763.572019331
0.2440597,778.688837091
0.246436,794.423400286
0.2488123,810.706193498
0.2511886,827.454095469
0.2544446,850.976745816
0.2577005,874.889177524
0.2609565,898.840914644
0.2642124,922.424674435
0.2674684,945.186534026
0.2690964,956.105003759
0.2707243,966.628394203
0.2723523,976.691466386
0.2739802,986.226257309
0.2756082,995.166797944
0.2772361,1003.44589624
0.2790269,1011.71264647
0.2808177,1019.01914207
0.2826085,1025.28630488
0.2843992,1030.44293473
0.28619,1034.42481846
0.2879807,1037.17471893
0.2897715,1038.645396
0.2915622,1038.8015876
0.2927303,1038.18152638
0.2938984,1036.98649851
0.2954492,1034.50754409
0.297,1031.01134759
0.2989102,1025.31702587
0.3008204,1018.11677277
0.3027306,1009.45148847
0.3046408,999.375393177
0.306551,987.955747085
0.3084612,975.270500374
0.3103714,961.407163203
0.3122815,946.462055709
0.3137576,934.235064312
0.3152336,921.471522834
0.3167097,908.21919131
0.3181857,894.530119778
0.3211378,866.038336819
0.3240898,836.392694235
0.3270419,805.969512344
0.329994,775.121261525
0.3329461,744.166372201
0.3358981,713.386484789
0.339358,677.854503829
0.3428178,643.211036271
0.3445478,626.301248771
0.3462777,609.702132084
0.3480076,593.433376154
0.3497375,577.512270915
0.3518082,558.931143469
0.3538788,540.886756758
0.3559494,523.390830641
0.35802,506.450704987
0.3592728,496.472615693
0.3605255,486.699896506
0.3617782,477.131177406
0.3630309,467.765778378
0.3647534,455.217416056
0.3664759,443.046333817
0.3681984,431.247061643
0.3699209,419.813359522
0.3716434,408.738177451
0.3733659,398.013755433
0.3750884,387.631833477
0.3768109,377.584141597
0.3785334,367.861619816
0.3802559,358.45538816
0.3819784,349.356286661
0.3837009,340.555035358
0.3854234,332.042564291
0.3871459,323.809583504
0.3888684,315.847113042
0.3905909,308.146172946
0.3928206,298.551560487
0.3950502,289.361948778
0.3972798,280.558877863
0.3995094,272.12456776
0.4017391,264.041628456
0.4039687,256.294489909
0.4061983,248.867152057
0.4084279,241.744434815
0.409847,237.362970482
0.4112661,233.095596336
0.4126852,228.938722353
0.4141042,224.889448509
0.4155233,220.943674785
0.4169424,217.098801159
0.4183615,213.351627615
0.4197805,209.699554138
0.4211996,206.139090713
0.4226187,202.667727331
0.4240378,199.282773982
0.4254568,195.981920659
0.4268759,192.762167356
0.428295,189.621223067
0.4297141,186.556781791
0.4311331,183.566846525
0.4325522,180.648613267
0.4339713,177.800284016
0.4368095,172.30513254
0.4396477,167.065488104
0.4424858,162.066845729
0.445324,157.295096442
0.4481621,152.737637282
0.4510003,148.382159296
0.4538384,144.217654535
0.4568086,140.052276801
0.4597787,136.073092421
0.4627488,132.26959043
0.4657189,128.631763847
0.4686891,125.150400665
0.4716592,121.817094858
0.4746293,118.62373538
0.4775994,115.562815178
0.4803995,112.79204236
0.4831996,110.127254689
0.4859997,107.563117126
0.4887997,105.094900637
0.4915998,102.717739197
0.4943999,100.427315788
0.5,96.0903070202
0.5072506,90.9165068903
0.5145012,86.1878918058
0.5217518,81.8551878427
0.5290024,77.8760171701
0.536253,74.2134400218
0.5435036,70.835041585
0.5507542,67.7124718773
0.5580048,64.8210777369
0.5650179,62.2238830219
0.572031,59.8047524541
0.5790441,57.5470149402
0.5860572,55.4355094423
0.5930703,53.4571549504
0.6000834,51.6009724689
0.6070965,49.8575410174
0.6141095,48.2183806382
0.6211226,46.6756123969
0.6281357,45.2218883639
0.6351488,43.8503095811
0.6421619,42.554520038
0.649175,41.3288746787
0.6561881,40.1683524327
0.6702142,38.0252450756
0.6800248,36.6536284537
0.6898353,35.3760098348
0.6996458,34.1839772198
0.7094563,33.070081622
