Cu65,Cu65
E_eV,Sig_b
1e-05,206.43286
1.03125e-05,203.30635
1.0625e-05,200.31914
1.09375e-05,197.4613
1.125e-05,194.72368
1.15625e-05,192.09814
1.1875e-05,189.57726
1.21875e-05,187.15427
1.25e-05,184.823
1.28125e-05,182.57782
1.3125e-05,180.41362
1.34375e-05,178.32559
1.375e-05,176.3094
1.4375e-05,172.47678
1.5e-05,168.88716
1.5625e-05,165.51596
1.625e-05,162.34196
1.6875e-05,159.34671
1.75e-05,156.51409
1.8125e-05,153.82993
1.875e-05,151.28176
1.9375e-05,148.85851
2e-05,146.5503
2.09375e-05,143.28477
2.1875e-05,140.2326
2.28125e-05,137.37162
2.375e-05,134.68274
2.46875e-05,132.14946
2.5625e-05,129.75738
2.65625e-05,127.49391
2.75e-05,125.34797
2.84375e-05,123.3098
2.9375e-05,121.37072
3.03125e-05,119.52297
3.125e-05,117.75965
3.21875e-05,116.07455
3.3125e-05,114.46209
3.40625e-05,112.91723
3.5e-05,111.43539
3.59375e-05,110.01244
3.6875e-05,108.64461
3.78125e-05,107.32844
3.875e-05,106.06079
3.96875e-05,104.83876
4.0625e-05,103.65971
4.25e-05,101.42095
4.4375e-05,99.32713
4.625e-05,97.36338
4.8125e-05,95.51686
5e-05,93.77645
5.15625e-05,92.40012
5.3125e-05,91.08576
5.46875e-05,89.82888
5.625e-05,88.62546
5.78125e-05,87.47182
5.9375e-05,86.36469
6.09375e-05,85.30104
6.25e-05,84.27813
6.40625e-05,83.29347
6.5625e-05,82.34472
6.71875e-05,81.42981
6.875e-05,80.54679
7.1875e-05,78.86936
7.5e-05,77.29973
7.8125e-05,75.82694
8.125e-05,74.44155
8.4375e-05,73.13538
8.75e-05,71.90122
9.0625e-05,70.73278
9.375e-05,69.62453
9.6875e-05,68.57153
0.0001,67.56943
0.000103125,66.6143
0.00010625,65.70264
0.000109375,64.83132
0.0001125,63.99747
0.000115625,63.19855
0.00011875,62.43224
0.000121875,61.69639
0.000125,60.98909
0.000128125,60.30857
0.00013125,59.65321
0.000134375,59.02154
0.0001375,58.41218
0.00014375,57.25549
0.00015,56.17418
0.00015625,55.16057
0.0001625,54.20804
0.00016875,53.31081
0.000175,52.46384
0.00018125,51.66272
0.0001875,50.90357
0.00019375,50.18291
0.0002,49.4977
0.000209375,48.53041
0.00021875,47.62869
0.000228125,46.78564
0.0002375,45.99532
0.000246875,45.2526
0.00025625,44.55304
0.000265625,43.89271
0.000275,43.2682
0.000284375,42.67648
0.00029375,42.11486
0.000303125,41.58094
0.0003125,41.07261
0.000321875,40.58795
0.00033125,40.12522
0.000340625,39.6829
0.00035,39.25956
0.000359375,38.85392
0.00036875,38.46485
0.000378125,38.09126
0.0003875,37.73222
0.000396875,37.38682
0.00040625,37.05425
0.000425,36.42468
0.00044375,35.83823
0.0004625,35.29034
0.00048125,34.77712
0.0005,34.29518
0.000515625,33.91534
0.00053125,33.55366
0.000546875,33.20882
0.0005625,32.87957
0.000578125,32.56485
0.00059375,32.26362
0.000609375,31.97501
0.000625,31.69818
0.000640625,31.43239
0.00065625,31.17696
0.000671875,30.93123
0.0006875,30.69465
0.00071875,30.24683
0.00075,29.82973
0.00078125,29.44008
0.0008125,29.07512
0.00084375,28.73244
0.000875,28.40992
0.00090625,28.10575
0.0009375,27.8183
0.00096875,27.54614
0.001,27.28801
0.00103125,27.04279
0.0010625,26.80946
0.00109375,26.58713
0.001125,26.37498
0.00115625,26.17229
0.0011875,25.9784
0.00121875,25.792703
0.00125,25.614656
0.00128125,25.443762
0.0013125,25.27958
0.00134375,25.12168
0.001375,24.969694
0.0014375,24.682071
0.0015,24.414236
0.0015625,24.164076
0.001625,23.929783
0.0016875,23.709766
0.00175,23.502688
0.0018125,23.307351
0.001875,23.122701
0.0019375,22.947833
0.002,22.781919
0.00209375,22.548284
0.0021875,22.331076
0.00228125,22.128489
0.002375,21.938976
0.00246875,21.761228
0.0025625,21.594097
0.00265625,21.436571
0.00275,21.287796
0.00284375,21.146996
0.0029375,21.013485
0.00303125,20.886684
0.003125,20.76605
0.00321875,20.651105
0.0033125,20.541426
0.00340625,20.436627
0.0035,20.336356
0.00359375,20.240315
0.0036875,20.148216
0.00378125,20.059787
0.003875,19.974801
0.00396875,19.893057
0.0040625,19.814344
0.00425,19.665297
0.0044375,19.526414
0.004625,19.396581
0.0048125,19.274889
0.005,19.160523
0.00515625,19.070307
0.0053125,18.984331
0.00546875,18.90229
0.005625,18.82389
0.00578125,18.748868
0.0059375,18.677
0.00609375,18.608067
0.00625,18.541874
0.00640625,18.478258
0.0065625,18.417048
0.00671875,18.358102
0.006875,18.301278
0.0071875,18.193545
0.0075,18.092955
0.0078125,17.99877
0.008125,17.910339
0.0084375,17.82711
0.00875,17.748593
0.0090625,17.674364
0.009375,17.60405
0.0096875,17.53733
0.01,17.473893
0.0103125,17.4135
0.010625,17.355908
0.0109375,17.300918
0.01125,17.248321
0.0115625,17.19797
0.011875,17.149702
0.0121875,17.103383
0.0125,17.058882
0.0128125,17.016084
0.013125,16.974895
0.0134375,16.935194
0.01375,16.896919
0.014375,16.824286
0.015,16.756408
0.015625,16.692798
0.01625,16.63303
0.016875,16.576729
0.0175,16.523577
0.018125,16.473298
0.01875,16.425633
0.019375,16.380371
0.02,16.337325
0.0206625,16.293911
0.021325,16.252601
0.0219875,16.213238
0.02265,16.175665
0.0233125,16.139762
0.023975,16.105396
0.0246375,16.072475
0.02529999,16.040888
0.02532414,16.039763
0.0253965,16.036401
0.02561058,16.026519
0.02582465,16.01677
0.0262528,15.997647
0.0271091,15.960798
0.0279654,15.925715
0.02882169,15.892241
0.02967799,15.860272
0.03053429,15.829703
0.03139059,15.800418
0.03224688,15.77234
0.03325997,15.740577
0.03427306,15.710257
0.03528615,15.681286
0.03629923,15.65357
0.03731232,15.62702
0.0383254,15.601547
0.03933849,15.577098
0.04035157,15.553586
0.04136466,15.530968
0.04237774,15.509175
0.04339083,15.488174
0.04440391,15.467914
0.04643008,15.429439
0.04845625,15.393464
0.05,15.367561
0.0515625,15.342569
0.053125,15.318705
0.0546875,15.295894
0.05625,15.27407
0.0578125,15.253142
0.059375,15.233075
0.0609375,15.213797
0.0625,15.195254
0.0640625,15.177414
0.065625,15.160227
0.0671875,15.143658
0.06875,15.127663
0.071875,15.097291
0.075,15.068864
0.078125,15.042178
0.08125,15.017068
0.084375,14.993387
0.0875,14.971008
0.090625,14.949814
0.09375,14.929705
0.096875,14.910597
0.1,14.892397
0.103125,14.87505
0.10625,14.858476
0.109375,14.842634
0.1125,14.827466
0.115625,14.812918
0.11875,14.7989629
0.121875,14.785554
0.125,14.77266
0.128125,14.7602512
0.13125,14.7483003
0.134375,14.7367619
0.1375,14.7256321
0.14375,14.7044818
0.15,14.6846743
0.15625,14.6660706
0.1625,14.6485625
0.16875,14.6320353
0.175,14.616416
0.18125,14.6016212
0.1875,14.5875863
0.19375,14.5742433
0.2,14.5615286
0.209375,14.5435567
0.21875,14.5267425
0.228125,14.5109913
0.2375,14.4961762
0.246875,14.4822221
0.25625,14.4690333
0.265625,14.4565637
0.275,14.4447348
0.284375,14.433505
0.29375,14.4228084
0.303125,14.4126243
0.3125,14.4028961
0.321875,14.3936012
0.33125,14.3847001
0.340625,14.3761662
0.35,14.3679854
0.359375,14.3601259
0.36875,14.3525682
0.378125,14.345295
0.3875,14.3382909
0.396875,14.3315414
0.40625,14.3250211
0.425,14.3126368
0.44375,14.3010263
0.4625,14.2901201
0.5,14.2702013
0.53125,14.2552311
0.5625,14.2414915
0.59375,14.228828
0.625,14.2171198
0.6875,14.1961109
0.75,14.1777469
0.8125,14.1615123
0.875,14.1470294
