Cd106,Cd106
E_eV,Sig_b
0.09375,5.0582808
0.096875,5.0497285
0.1,5.0415814
0.103125,5.0338093
0.10625,5.0263833
0.109375,5.0192801
0.1125,5.0124759
0.115625,5.0059498
0.11875,4.9996841
0.121875,4.9936626
0.125,4.9878688
0.128125,4.9822905
0.13125,4.9769143
0.134375,4.9717286
0.1375,4.9667212
0.14375,4.9571997
0.15,4.9482756
0.15625,4.9398891
0.1625,4.9319887
0.16875,4.924532
0.175,4.9174785
0.18125,4.9107921
0.1875,4.9044446
0.19375,4.8984092
0.2,4.8926593
0.209375,4.8845199
0.21875,4.8769022
0.228125,4.8697542
0.2375,4.8630323
0.246875,4.8566949
0.25625,4.8507062
0.265625,4.8450356
0.275,4.8396554
0.284375,4.8345408
0.29375,4.8296718
0.303125,4.8250286
0.3125,4.8205935
0.321875,4.8163524
0.33125,4.8122898
0.340625,4.8083945
0.35,4.8046544
0.359375,4.8010594
0.36875,4.7976014
0.378125,4.7942714
0.3875,4.7910616
0.396875,4.7879671
0.40625,4.7849811
0.425,4.7792991
0.44375,4.7739664
0.4625,4.768954
0.5,4.7597873
0.53125,4.7528839
0.5625,4.7465355
0.59375,4.7406795
0.625,4.7352559
0.6875,4.7255022
0.75,4.7169482
0.8125,4.7093603
0.875,4.702578
0.9375,4.6964471
1.0,4.6908493
1.0625,4.6857205
1.125,4.6809963
1.1875,4.6766214
1.25,4.672552
1.375,4.6651883
1.5,4.6586766
1.625,4.6528489
1.75,4.6475909
1.875,4.6427988
2.0,4.6383835
2.1875,4.632376
2.375,4.62697794
2.5625,4.6220711
2.75,4.61757874
2.9375,4.61342813
3.125,4.60956237
3.3125,4.6059465
3.5,4.60254839
3.6875,4.59933889
3.875,4.59629746
4.25,4.59064139
4.625,4.58546032
5.0,4.58067065
5.3125,4.57692741
5.625,4.57337355
5.9375,4.56998874
6.25,4.56675405
6.5625,4.56365086
6.875,4.56066424
7.5,4.55500121
8.125,4.54968736
8.75,4.54466733
9.375,4.53989558
10.0,4.53533535
10.625,4.53096132
11.25,4.52675196
11.875,4.5226877
12.5,4.51875605
13.125,4.51494293
13.75,4.51123715
14.375,4.50763109
15.0,4.50411536
16.25,4.4973313
17.5,4.49084052
18.75,4.48460794
20.0,4.47860104
20.9375,4.47423271
21.875,4.46997255
22.8125,4.46581307
23.75,4.46174816
25.625,4.45387865
27.5,4.44632815
29.375,4.4390648
31.25,4.43205958
33.125,4.42529356
35.0,4.41874769
36.875,4.41240502
38.75,4.40625225
40.625,4.40027638
42.5,4.39446549
44.375,4.3888115
46.25,4.38330403
48.125,4.37793427
50.0,4.37269624
53.125,4.36423743
56.25,4.356092321
59.375,4.348235962
62.5,4.340646675
65.625,4.333305059
68.75,4.326190729
71.875,4.319289124
75.0,4.312584354
78.125,4.306063078
81.25,4.299713415
84.375,4.293521865
87.5,4.287481247
90.625,4.281579654
93.75,4.275808408
96.875,4.27016003
100.0,4.264625209
103.125,4.259197782
106.25,4.253870712
109.375,4.248637072
112.5,4.243493154
118.75,4.233446081
125.0,4.223686244
131.25,4.214176602
137.5,4.204886713
143.75,4.195783724
150.0,4.18684126
156.25,4.178032334
162.5,4.169334278
168.75,4.160723686
175.0,4.152181377
181.25,4.143684351
187.5,4.13521577
193.75,4.126754935
200.0,4.118285284
