Am244_m1,Am244_m1
0.00090625,10581.36519
0.0009375,10403.69284
0.00096875,10234.68894
0.001,10073.67034
0.00103125,9920.02892
0.0010625,9773.2166
0.00109375,9632.74326
0.001125,9498.16583
0.00115625,9369.08223
0.0011875,9245.1274
0.00121875,9125.97228
0.00125,9011.31382
0.00128125,8900.87796
0.0013125,8794.40867
0.00134375,8691.67591
0.001375,8592.46563
0.0014375,8403.84242
0.0015,8227.13381
0.0015625,8061.13661
0.001625,7904.80965
0.0016875,7757.2508
0.00175,7617.66794
0.0018125,7485.36797
0.001875,7359.7388
0.0019375,7240.23735
0.002,7126.38155
0.00209375,6965.25294
0.0021875,6814.59451
0.00228125,6673.32109
0.002375,6540.49558
0.00246875,6415.30886
0.0025625,6297.05786
0.00265625,6185.12349
0.00275,6078.96269
0.00284375,5978.09741
0.0029375,5882.10059
0.00303125,5790.59419
0.003125,5703.23718
0.00321875,5619.72752
0.0033125,5539.78918
0.00340625,5463.17613
0.0035,5389.66235
0.00359375,5319.04582
0.0036875,5251.13952
0.00378125,5185.77544
0.003875,5122.79755
0.00396875,5062.06485
0.0040625,5003.44741
0.00425,4892.08352
0.0044375,4787.85267
0.004625,4690.02552
0.0048125,4597.97121
0.005,4511.14357
0.00515625,4442.43519
0.0053125,4376.78183
0.00546875,4313.96256
0.005625,4253.78087
0.00578125,4196.05785
0.0059375,4140.62899
0.00609375,4087.34857
0.00625,4036.07967
0.00640625,3986.6986
0.0065625,3939.09344
0.00671875,3893.15859
0.006875,3848.79984
0.0071875,3764.45919
0.0075,3685.44467
0.0078125,3611.21543
0.008125,3541.30744
0.0084375,3475.31597
0.00875,3412.8885
0.0090625,3353.71721
0.009375,3297.52857
0.0096875,3244.08118
0.01,3193.15902
0.0103125,3144.57158
0.010625,3098.14445
0.0109375,3053.72261
0.01125,3011.16797
0.0115625,2970.35341
0.011875,2931.16273
0.0121875,2893.49201
0.0125,2857.24517
0.0128125,2822.33458
0.013125,2788.68025
0.0134375,2756.20718
0.01375,2724.84785
0.014375,2665.22313
0.015,2609.35867
0.015625,2556.87405
0.01625,2507.44085
0.016875,2460.77537
0.0175,2416.63088
0.018125,2374.78909
0.01875,2335.05727
0.019375,2297.26423
0.02,2261.25845
0.0206625,2224.89018
0.021325,2190.23036
0.0219875,2157.1498
0.02265,2125.5309
0.0233125,2095.26933
0.023975,2066.27101
0.0246375,2038.44843
0.0253,2011.72499
0.02645782,1967.45233
0.02761563,1925.99177
0.02877344,1887.05969
0.02993125,1850.41387
0.03108907,1815.84291
0.03224688,1783.15641
0.03340469,1752.18756
0.0345625,1722.78515
0.03552735,1699.38377
0.03649219,1676.91192
0.03745704,1655.30959
0.03842188,1634.52318
0.03938673,1614.5038
0.04035157,1595.20623
0.04131641,1576.58828
0.04228125,1558.61194
0.04421094,1524.44101
0.04614063,1492.43804
0.04807032,1462.38201
0.05,1434.08732
0.05125,1416.62283
0.0525,1399.79234
0.05375,1383.55888
0.055,1367.89712
0.0575,1338.40334
0.05875,1325.02722
0.059375,1318.98111
0.06,1313.60531
0.060625,1309.184
0.06125,1306.0896
0.0615625,1305.18775
0.061875,1304.8046
0.0621875,1305.01865
0.0625,1305.9104
0.0628125,1307.56425
0.063125,1310.07031
0.0634375,1313.51886
0.06375,1317.99931
0.0640625,1323.60056
0.064375,1330.40532
0.0646875,1338.48817
0.065,1347.91643
0.0653125,1358.74188
0.065625,1371.00454
0.0659375,1384.72449
0.06625,1399.90425
0.0665625,1416.52491
0.066875,1434.54517
0.0671875,1453.90112
0.0675,1474.50728
0.0678125,1496.25584
0.068125,1519.0197
0.0684375,1542.64996
0.06875,1566.98552
0.06999999,1667.73766
0.07000001,1667.73996
0.07002931,1670.10476
0.07005861,1672.46705
0.0701172,1677.18505
0.07023439,1686.58643
0.07046876,1705.2229
0.07093751,1741.56235
0.07140626,1776.19109
0.07187501,1808.61943
0.07234376,1838.44958
0.07257814,1852.29395
0.07281251,1865.38632
0.07304689,1877.7068
0.07328126,1889.24037
0.07351564,1899.98064
0.07375001,1909.92622
0.07398439,1919.08119
0.07421876,1927.45517
0.07468751,1941.92122
0.07515626,1953.48646
0.07562501,1962.36671
0.07609376,1968.81186
0.07656251,1973.09412
0.07703126,1975.49077
0.07750001,1976.27312
0.07796876,1975.69967
0.07843751,1974.00643
0.07937501,1968.08283
0.08031251,1959.88155
0.08125001,1950.37416
0.08500001,1908.75943
0.08875001,1868.26113
0.09250001,1830.16995
0.09625001,1794.31859
0.1,1760.49846
0.103125,1733.73687
0.10625,1708.1715
0.109375,1683.71594
0.1125,1660.28808
0.115625,1637.81863
0.11875,1616.2427
0.121875,1595.50277
0.125,1575.54734
0.128125,1556.32932
0.13125,1537.81061
0.134375,1519.9528
0.1375,1502.7169
0.14375,1469.93461
0.15,1439.18583
0.15625,1410.29037
0.1625,1383.07842
0.16875,1357.39338
0.175,1333.09976
0.18125,1310.07414
0.1875,1288.21093
0.19375,1267.41273
0.2,1247.59163
0.205,1232.39375
0.21,1217.75068
0.215,1203.63682
0.22,1190.02165
0.23,1164.12013
0.24,1139.81682
0.25,1116.98702
0.26,1095.49673
0.27,1075.22444
0.28,1056.05296
0.29,1037.88379
0.3,1020.64332
0.3125,1000.26623
0.325,981.06196
0.3375,962.93359
0.35,945.78373
0.3625,929.52517
0.375,914.08501
0.3875,899.39876
0.4,885.40801
0.4125,872.06106
0.425,859.30892
0.4375,847.10768
0.45,835.41904
0.4625,824.2149
0.475,813.49057
0.5,793.33121
0.55,757.0148
0.6,725.22331
0.65,697.19543
0.7,672.23477
0.75,649.81071
0.8,629.52746
0.85,611.05141
0.9,594.13898
0.95,578.59124
0.999999,564.28268
1.0,564.28238
1.000001,564.28218
1.1,538.61372
1.2,516.16998
1.3,496.36292
1.4,478.71982
1.5,462.87916
1.6,448.54921
1.7,435.50361
1.8,423.56135
1.9,412.57528
2.0,402.4504
2.2,384.27551
2.4,368.4062
2.6,354.40829
2.8,341.93565
3.0,330.73888
3.25,318.21862
3.5,307.05921
3.75,297.03943
4.0,287.97498
4.25,279.72267
4.5,272.16803
4.75,265.21363
5.0,258.79847
5.5,247.30197
6.0,237.27545
6.5,228.42068
7.0,220.53211
7.5,213.45392
8.0,207.04372
8.5,201.20729
9.0,195.86426
9.5,190.94898
10.0,186.41178
11.0,178.23472
12.0,171.09795
13.0,164.8055
14.0,159.20118
15.0,154.16878
16.0,149.61671
17.0,145.47068
18.0,141.67597
19.0,138.1865
20.0,134.96529
22.0,129.19359
24.0,124.15741
26.0,119.7101
28.0,115.75337
30.0,112.20358
32.5,108.23297
35.0,104.69588
37.5,101.51743
40.0,98.64244
42.5,96.02806
45.0,93.63509
47.5,91.43332
50.0,89.40019
55.0,85.7595
60.0,82.58266
65.0,79.7798
70.0,77.28388
75.0,75.04123
80.0,73.01462
85.0,71.16747
90.0,69.47674
95.0,67.92204
100.0,66.48613
110.0,63.90491
120.0,61.653465
130.0,59.66701
140.0,57.897829
150.0,56.309208
160.0,54.872271
170.0,53.56606
180.0,52.37042
190.0,51.269318
200.0,50.252255
220.0,48.431884
240.0,46.84402
260.0,45.443813
280.0,44.196756
300.0,43.07792
325.0,41.826863
350.0,40.712412
375.0,39.712248
400.0,38.807452
425.0,37.984888
450.0,37.23185
475.0,36.538512
500.0,35.897962
550.0,34.752979
600.0,33.753962
650.0,32.873346
700.0,32.088817
750.0,31.384736
800.0,30.748989
850.0,30.170383
900.0,29.640574
950.0,29.153516
1000.0,28.703407
1100.0,27.899949
1200.0,27.198153
1300.0,26.580746
1400.0,26.030002
1500.0,25.535912
1600.0,25.088351
1700.0,24.681842
1800.0,24.309228
1900.0,23.967582
2000.0,23.65142
2006.25,23.632292
2012.5,23.61326
2025.0,23.5754400001
2037.5,23.5379630001
2050.0,23.5008250002
2075.0,23.4275380003
2100.0,23.3555370004
2125.0,23.2847870004
2150.0,23.2152440005
2200.0,23.0796570007
2250.0,22.9491120008
2300.0,22.822747001
2350.0,22.7003450012
2400.0,22.5817060013
2450.0,22.4668880015
2500.0,22.3554520016
2600.0,22.1420760019
2700.0,21.9413590022
2800.0,21.7512170024
2900.0,21.5713180027
3000.0,21.4002430029
3125.0,21.1990740032
3250.0,21.0092910035
3375.0,20.8298300038
3500.0,20.659794004
3625.0,20.5000500043
3750.0,20.3480880045
4000.0,20.065120005
4125.0,19.9334640053
4250.0,19.8074030057
4500.0,19.5705010064
4750.0,19.353789007
5000.0,19.1527460077
5250.0,18.9671410082
5500.0,18.7936780088
5750.0,18.6324930093
6000.0,18.4809300099
6250.0,18.338141011
6500.0,18.2030830121
6750.0,18.0761620132
7000.0,17.9555950143
7250.0,17.8419460153
7500.0,17.7335980162
8000.0,17.5328470181
8500.0,17.3510300198
9000.0,17.1832980214
9500.0,17.030707023
10000.0,16.8886500244
10500.0,16.7331320265
11000.0,16.5879060285
11500.0,16.4518490304
12000.0,16.3240063322
12359.9,16.2390600334
12385.53,16.2338782487
12411.16,16.2286989337
12462.41,16.2184082569
12564.92,16.1979777636
12667.43,16.1777737381
12769.93,16.1577866027
12974.94,16.1184458687
13179.95,16.0799303828
13384.97,16.0422003969
13589.98,16.0052369639
13794.99,15.9690137829
14000.0,15.9334988719
14500.0,15.8619051571
15000.0,15.793369952
15500.0,15.7276658768
16000.0,15.6645899414
16500.0,15.6060448459
17000.0,15.5496812303
18000.0,15.4429091486
19000.0,15.3465513565
20000.0,15.256264794
21000.0,15.1562895702
22000.0,15.0619422356
23000.0,14.9749756703
24000.0,14.8924514944
25000.0,14.8158964279
26000.0,14.7429209609
27000.0,14.6749116634
28000.0,14.6098252454
30000.0,14.4902275282
31250.0,14.4149103736
32500.0,14.343030918
33750.0,14.2743326415
35000.0,14.2085462941
35426.8,14.1876859316
35426.82,14.1876849416
35498.28,14.1844993438
35569.73,14.1813259649
35712.64,14.1749904272
35998.46,14.1624088003
36284.28,14.1499400034
36570.1,14.1375919391
37141.75,14.1131972787
37713.4,14.0892374572
38285.05,14.0656862829
38856.7,14.0425275828
40000.0,13.997355741
40625.0,13.9701371688
41250.0,13.9433883832
41875.0,13.9171044545
42500.0,13.8912517404
43750.0,13.8408309269
45000.0,13.792021765
46250.0,13.7462445794
47500.0,13.7018461896
48750.0,13.6587468825
50000.0,13.6168810543
51250.0,13.5773569531
52500.0,13.538901551
55000.0,13.4649918965
57500.0,13.3965504894
60000.0,13.3313647783
60532.1,13.3161642009
60671.73,13.3121773689
60811.35,13.3082009154
61090.59,13.3002798706
61649.08,13.2845587415
62207.57,13.2689976577
62766.05,13.2535966916
63883.03,13.223255153
65000.0,13.1935115449
66250.0,13.1614080942
67500.0,13.1299843401
68750.0,13.0992145101
70000.0,13.0690738141
70266.05,13.0628296721
72633.03,13.0084339812
75000.0,12.9560119874
77500.0,12.9032258024
80000.0,12.8523360875
82004.83,12.8089416608
84009.65,12.7667488054
86014.48,12.7256994451
88019.3,12.6857357874
88266.89,12.6807600439
88514.48,12.6758025103
89009.65,12.6659357401
90000.0,12.6463919325
90738.22,12.6321155511
91476.43,12.6179753684
92952.85,12.5900931754
94429.28,12.5627291526
95905.7,12.5358640012
96161.6,12.5311713519
96417.49,12.5264935087
96929.28,12.5171801602
97952.85,12.4987248427
98976.43,12.4804940569
100000.0,12.4624829433
101218.4,12.4398380336
102436.8,12.417513963
103655.2,12.3954997021
104873.5,12.3737910383
107310.3,12.3312501604
109747.0,12.2898356997
110067.5,12.2840900204
110387.9,12.2783647725
111028.7,12.266975164
112310.3,12.2444322453
113591.9,12.2221998948
114873.5,12.2002663448
116155.2,12.178625817
117436.8,12.1572740748
120000.0,12.1154031059
122436.8,12.0761434663
124873.5,12.0378176499
128655.2,11.9800933738
132436.8,11.9243860663
136218.4,11.8705686889
140000.0,11.8185260209
140879.0,11.805740079
141403.0,11.7977576677
141927.0,11.7898102621
142975.0,11.7740257204
144023.0,11.7583836494
145070.9,11.7428849141
147166.9,11.7122937277
149262.8,11.6822398329
151358.8,11.6527030507
153454.7,11.6236700905
157646.5,11.5670515417
160000.0,11.536074859
163603.5,11.4883859025
167207.0,11.4419830294
170810.5,11.3968021152
174414.0,11.3527889624
175112.3,11.3438402163
175810.5,11.3349374091
177207.0,11.3172670639
178603.5,11.2997710603
180000.0,11.2824506681
182481.5,11.2511199324
184963.0,11.2203273979
184963.4,11.220321827
185433.3,11.2143605123
185903.2,11.2084177864
186842.9,11.196591339
188722.3,11.1731652227
190601.9,11.1500323171
192481.5,11.1271908416
196240.8,11.0823497961
200000.0,11.0385959756
202044.0,11.0145295786
202511.3,11.0090111033
202978.5,11.0035118537
203913.0,10.9925596756
205782.0,10.9708539805
207651.0,10.9494058674
209520.0,10.9282118603
209520.4,10.9282073411
210175.4,10.9205779591
210830.3,10.9129802623
212140.2,10.8978805054
213450.1,10.8829004086
214760.0,10.8680421527
217380.0,10.8386806482
220000.0,10.8097828988
223930.3,10.7658707167
227860.5,10.7229683058
231790.8,10.6810331849
235721.0,10.640030541
235721.3,10.6400279663
236256.2,10.6343563303
236791.0,10.6287028692
237860.7,10.6174467251
240000.0,10.5951353846
242149.5,10.5723855186
244299.0,10.5499086252
248598.0,10.5057447966
248598.3,10.5057411879
249486.3,10.4966808357
250374.2,10.487663759
252150.0,10.4697619386
253926.0,10.4520296181
255702.0,10.4344657037
255702.5,10.4344601133
256715.0,10.424414014
257536.3,10.4162697472
258357.5,10.4081609288
260000.0,10.3920493868
261481.0,10.3771867399
261481.3,10.3771831961
262324.3,10.3686695266
263167.3,10.3601921568
264853.3,10.3433498994
266539.4,10.3266558434
268225.5,10.3101060753
271597.8,10.277433373
274970.0,10.245317023
275598.8,10.2392785242
276227.5,10.2332591791
277485.0,10.2212771846
280000.0,10.1975409962
282563.0,10.1729859873
285126.0,10.1487425555
290252.0,10.101166094
290861.3,10.0955069773
291470.5,10.0898655132
292689.0,10.0786328338
295126.0,10.0563665721
297563.0,10.0343589297
300000.0,10.012605451
303276.0,9.982183294
303276.3,9.982180777
304370.1,9.97206887966
305463.9,9.9620092772
307651.5,9.9420440436
309839.3,9.9222806353
312027.0,9.902717985
312027.3,9.9027155517
313028.0,9.89373272627
314028.7,9.88479342977
316030.0,9.86703725335
318031.5,9.84944152022
320033.0,9.83200643019
324036.0,9.797605759
328039.0,9.763816329
328039.2,9.7638135967
329110.7,9.7547959192
330182.1,9.7458208358
332325.0,9.727997278
333504.0,9.718246045
334581.0,9.709361528
334581.2,9.7093599051
335447.0,9.7022159002
336312.8,9.6950987287
338044.3,9.6809478738
341507.5,9.6529625562
344970.8,9.625394254
348434.0,9.598234788
348434.2,9.598233153
349217.1,9.5920342149
350000.0,9.585855716
351513.6,9.573406233
353027.2,9.5610374243
356054.3,9.5365425591
359081.4,9.5123641627
362108.5,9.4884951626
368162.8,9.4416576476
374217.0,9.3959831269
380662.8,9.3485799553
387108.5,9.302389149
393554.3,9.2573608513
400000.0,9.213450206
406250.0,9.1673293741
412500.0,9.122318091
418750.0,9.0783728559
425000.0,9.0354558901
437500.0,8.9525518706
450000.0,8.8733241099
462500.0,8.7965314655
475000.0,8.722981075
487500.0,8.652460802
500000.0,8.58477523
512500.0,8.514286901
525000.0,8.446536117
537500.0,8.381358379
550000.0,8.318602754
575000.0,8.202245882
600000.0,8.09384117
625000.0,7.987597741
650000.0,7.887950281
675000.0,7.800946969
700000.0,7.71895987
725000.0,7.640501709
750000.0,7.566132744
775000.0,7.502688543
800000.0,7.44244512
825000.0,7.38999155
850000.0,7.340040417
900000.0,7.24693085
950000.0,7.179730902
1000000.0,7.11908153
1050000.0,7.088605537
1100000.0,7.060378847
1150000.0,7.034153185
1200000.0,7.00971932
1250000.0,7.013797991
1300000.0,7.017980964
1350000.0,7.022247942
1400000.0,7.02658172
1450000.0,7.047340226
1500000.0,7.067893507
1550000.0,7.088230257
1600000.0,7.10834052
1650000.0,7.134796132
1700000.0,7.161354733
1750000.0,7.187969161
1800000.0,7.21459362
1850000.0,7.242111441
1900000.0,7.270083629
1950000.0,7.298427095
2000000.0,7.32706836
2050000.0,7.350165206
2100000.0,7.374219615
2150000.0,7.399101854
2200000.0,7.4246964184
2250000.0,7.4504658747
2300000.0,7.4767660038
2350000.0,7.5035198256
2400000.0,7.530658191
2450000.0,7.5447588421
2500000.0,7.5599184284
2550000.0,7.5760021758
2600000.0,7.5928915751
2650000.0,7.6099029628
2700000.0,7.6275334963
2750000.0,7.6457018673
2800000.0,7.6643350812
2850000.0,7.6826334399
2900000.0,7.7012900528
2950000.0,7.72025572
3000000.0,7.739490025
3031250.0,7.742522578
3062500.0,7.7457622002
3093750.0,7.74919502968
3125000.0,7.75280541687
3156250.0,7.75657887531
3187500.0,7.76050395191
3218750.0,7.7645681461
3250000.0,7.76876085924
3281250.0,7.77307327678
3312500.0,7.77749435411
3343750.0,7.78201672181
3375000.0,7.78663166086
3406250.0,7.79133303494
3437500.0,7.79611224006
3468750.0,7.80096418331
3500000.0,7.805882235
3531250.0,7.80333262467
3562500.0,7.80089918117
3593750.0,7.79857043448
3625000.0,7.79634437535
3656250.0,7.79421535489
3687500.0,7.79217610398
3718750.0,7.79022171498
3750000.0,7.78835056037
3812500.0,7.78483099535
3875000.0,7.78158602671
3937500.0,7.77858908847
4000000.0,7.77581284057
4062500.0,7.75664536363
4125000.0,7.73797957298
4187500.0,7.71978494545
4250000.0,7.70203880913
4312500.0,7.68471709292
4375000.0,7.66779614673
4437500.0,7.65125958116
4500000.0,7.63508809783
4562500.0,7.61760535892
4625000.0,7.60048789756
4687500.0,7.58371997732
4750000.0,7.56728756264
4812500.0,7.55117521841
4875000.0,7.53537200019
4937500.0,7.51986649506
5000000.0,7.50464666664
5048175.0,7.48569668498
5096350.0,7.46703211474
5144525.0,7.44864955782
5192700.0,7.43053871511
5240875.0,7.41269538257
5289050.0,7.39510943416
5337225.0,7.37777682688
5385400.0,7.36069058677
5414050.0,7.34499551443
5442700.0,7.32955906937
5471350.0,7.31437838848
5500000.0,7.29944862368
5548175.0,7.27873007317
5596350.0,7.25865941392
5644525.0,7.23922337854
5692700.0,7.22040630268
5731113.0,7.20583785136
5769525.0,7.19164863436
5807938.0,7.17782867539
5846350.0,7.16437490339
5884763.0,7.15128049808
5923175.0,7.1385393304
5961588.0,7.12614421509
6000000.0,7.11409204408
6031250.0,7.09586491991
6062500.0,7.07789273793
6093750.0,7.06017059212
6125000.0,7.04269325848
6156250.0,7.025458691
6187500.0,7.00846421266
6218750.0,6.99170381144
6250000.0,6.97517383335
6281250.0,6.95887367836
6312500.0,6.94279859447
6343750.0,6.92694617467
6375000.0,6.91131195094
6406250.0,6.89589239668
6437500.0,6.88068711537
6468750.0,6.8656928437
6500000.0,6.85090534707
6531250.0,6.83934321666
6562500.0,6.82798736807
6593750.0,6.81683453908
6625000.0,6.80588358759
6656250.0,6.79513039048
6687500.0,6.78457394135
6718750.0,6.77421114999
6750000.0,6.76403894028
6781250.0,6.75405634983
6812500.0,6.74426032822
6843750.0,6.73464803633
6875000.0,6.72521844568
6906250.0,6.71597063703
6937500.0,6.7069007002
6968750.0,6.69800583306
7000000.0,6.68928614102
7031250.0,6.67536722675
7062500.0,6.66158094932
7093750.0,6.64792729833
7125000.0,6.63440257227
7156250.0,6.62100467784
7187500.0,6.60773532905
7218750.0,6.59458924689
7250000.0,6.58156805866
7281250.0,6.56866759737
7312500.0,6.55588950131
7343750.0,6.54322971358
7375000.0,6.53068778168
7406250.0,6.51826265742
7437500.0,6.50595279609
7468750.0,6.49375645648
7500000.0,6.48167190072
7531250.0,6.46951829364
7562500.0,6.45747420283
7593750.0,6.44553869835
7625000.0,6.43371015252
7656250.0,6.42198580972
7687500.0,6.41036714629
7718750.0,6.3988512103
7750000.0,6.38743862149
7781250.0,6.37612638109
7812500.0,6.36491412169
7843750.0,6.3538008672
7875000.0,6.34278625269
7906250.0,6.33186930433
7937500.0,6.32104665928
7968750.0,6.31031934564
8000000.0,6.29968601237
8031250.0,6.29010185378
8062500.0,6.28057927798
8093750.0,6.27111744039
8125000.0,6.26171412674
8156250.0,6.25237149299
8187500.0,6.24308730533
8218750.0,6.23386174016
8250000.0,6.22469257413
8281250.0,6.21558096404
8312500.0,6.2065236969
8343750.0,6.19752392988
8375000.0,6.1885784503
8406250.0,6.17968641565
8437500.0,6.17084860356
8468750.0,6.16206319178
8500000.0,6.15333194821
8531250.0,6.14465206083
8562500.0,6.13602428777
8593750.0,6.12744580725
8625000.0,6.11891839757
8656250.0,6.11044123716
8687500.0,6.1020131045
8718750.0,6.09363416819
8750000.0,6.08530320687
8781250.0,6.07702038927
8812500.0,6.06878451419
8843750.0,6.0605967405
8875000.0,6.05245385712
8906250.0,6.04435703303
8937500.0,6.03630605727
8968750.0,6.02830009893
9000000.0,6.02033893713
9062500.0,6.01022460033
9125000.0,6.00020718054
9187500.0,5.9902816468
9250000.0,5.98044895821
9312500.0,5.9707071139
9375000.0,5.96105207309
9437500.0,5.95148480502
9500000.0,5.94200230901
9562500.0,5.93260353438
9625000.0,5.92328648051
9687500.0,5.91404910684
9750000.0,5.90489141281
9875000.0,5.88680692164
10000000.0,5.86902084326
10125000.0,5.86194526653
10250000.0,5.85497030434
10375000.0,5.8480918543
10500000.0,5.84130979432
10625000.0,5.83461801651
10750000.0,5.82801643019
10875000.0,5.82149993283
11000000.0,5.81506843007
11193980.0,5.81521887384
11387950.0,5.81529209376
11581930.0,5.81528872882
11775900.0,5.81521279201
11775980.0,5.81521615197
12000000.0,5.82432085127
12250000.0,5.83092478761
12500000.0,5.83787030549
12625000.0,5.84146649837
12750000.0,5.8451413037
12875000.0,5.84889370136
13000000.0,5.85272169121
13250000.0,5.8705453675
13500000.0,5.88857037174
13750000.0,5.90678654902
13875000.0,5.91596465441
14000000.0,5.92518474652
14250000.0,5.94406951554
14500000.0,5.96303173355
14750000.0,5.98206341843
15000000.0,6.00116258903
15250000.0,6.02129926226
15500000.0,6.04149445401
15750000.0,6.06174318019
15875000.0,6.07188787228
16000000.0,6.0820444537
16250000.0,6.10000155211
16500000.0,6.11791591674
16750000.0,6.13578762858
17000000.0,6.15361877061
17170000.0,6.1653107053
17340000.0,6.17698452008
17340080.0,6.17698849007
17670040.0,6.19576094841
18000000.0,6.21449964853
18250000.0,6.227650697
18500000.0,6.24074794635
18750000.0,6.25379136655
18875000.0,6.26029350495
19000000.0,6.26678191754
19250000.0,6.27638085507
19500000.0,6.28595052909
19750000.0,6.29549092058
20000000.0,6.30500501251
