Am244_m1,Am244_m1
E_eV,Sig_b
1e-05,100664.4003
1.03125e-05,99127.4822
1.0625e-05,97658.8826
1.09375e-05,96253.66943
1.125e-05,94907.44084
1.15625e-05,93616.15516
1.1875e-05,92376.18085
1.21875e-05,91184.21652
1.25e-05,90037.23093
1.28125e-05,88932.4729
1.3125e-05,87867.41139
1.34375e-05,86839.71541
1.375e-05,85847.26408
1.4375e-05,83960.33214
1.5e-05,82192.60971
1.5625e-05,80532.04172
1.625e-05,78968.22386
1.6875e-05,77492.10233
1.75e-05,76095.79384
1.8125e-05,74772.3355
1.875e-05,73515.61475
1.9375e-05,72320.21933
2e-05,71181.29722
2.09375e-05,69569.50891
2.1875e-05,68062.48377
2.28125e-05,66649.33727
2.375e-05,65320.71552
2.46875e-05,64068.51516
2.5625e-05,62885.67325
2.65625e-05,61766.02724
2.75e-05,60704.13486
2.84375e-05,59695.18413
2.9375e-05,58734.94329
3.03125e-05,57819.59076
3.125e-05,56945.76514
3.21875e-05,56110.38518
3.3125e-05,55310.71974
3.40625e-05,54544.31779
3.5e-05,53808.91842
3.59375e-05,53102.47078
3.6875e-05,52423.15411
3.78125e-05,51769.25772
3.875e-05,51139.23096
3.96875e-05,50531.66326
4.0625e-05,49945.25108
4.25e-05,48831.19933
4.4375e-05,47788.51423
4.625e-05,46809.90077
4.8125e-05,45889.05838
5e-05,45020.51082
5.15625e-05,44333.21052
5.3125e-05,43676.45934
5.46875e-05,43048.05738
5.625e-05,42446.02583
5.78125e-05,41868.57696
5.9375e-05,41314.06412
6.09375e-05,40781.03171
6.25e-05,40268.10718
6.40625e-05,39774.06502
6.5625e-05,39297.77879
6.71875e-05,38838.19906
6.875e-05,38394.38545
7.1875e-05,37550.57521
7.5e-05,36760.06153
7.8125e-05,36017.48527
8.125e-05,35318.16357
8.4375e-05,34658.0568
8.75e-05,34033.64757
9.0625e-05,33441.82465
9.375e-05,32879.83794
9.6875e-05,32345.27351
0.0001,31835.96648
0.000103125,31349.99212
0.00010625,30885.61373
0.000109375,30441.29072
0.0001125,30015.61153
0.000115625,29607.30168
0.00011875,29215.23172
0.000121875,28838.33224
0.000125,28475.65988
0.000128125,28126.3323
0.00013125,27789.5582
0.000134375,27464.61029
0.0001375,27150.80431
0.00014375,26554.16625
0.00015,25995.21532
0.00015625,25470.1601
0.0001625,24975.69136
0.00016875,24508.95503
0.000175,24067.45219
0.00018125,23648.99204
0.0001875,23251.62785
0.00019375,22873.65602
0.0002,22513.53898
0.000209375,22003.91525
0.00021875,21527.41404
0.000228125,21080.60713
0.0002375,20660.51051
0.000246875,20264.59127
0.00025625,19890.59365
0.000265625,19536.58698
0.000275,19200.8357
0.000284375,18881.82628
0.00029375,18578.22029
0.000303125,18288.80632
0.0003125,18012.51904
0.000321875,17748.39713
0.00033125,17495.56532
0.000340625,17253.23836
0.00035,17020.72402
0.000359375,16797.37312
0.00036875,16582.58846
0.000378125,16375.84288
0.0003875,16176.64924
0.000396875,15984.5464
0.00040625,15799.14225
0.000425,15446.91355
0.00044375,15117.25134
0.0004625,14807.84499
0.00048125,14516.69392
0.0005,14242.09266
0.000515625,14024.78889
0.00053125,13817.14928
0.000546875,13618.47264
0.0005625,13428.1348
0.000578125,13245.56263
0.00059375,13070.24299
0.000609375,12901.72077
0.000625,12739.55185
0.000640625,12583.35815
0.00065625,12432.77157
0.000671875,12287.47205
0.0006875,12147.1545
0.00071875,11880.37508
0.00075,11630.44886
0.00078125,11395.67446
0.0008125,11174.57955
0.00084375,10965.88485
0.000875,10768.47313
