Co58,Co58
E_eV,Sig_b
1e-05,98488.9979082
1.03125e-05,96985.3855208
1.0625e-05,95548.6183374
1.09375e-05,94173.8715576
1.125e-05,92856.8077811
1.15625e-05,91593.5157078
1.1875e-05,90380.4201374
1.21875e-05,89214.2977698
1.25e-05,88092.1715047
1.28125e-05,87011.365742
1.3125e-05,85969.3902816
1.34375e-05,84963.9767234
1.375e-05,83993.0349671
1.4375e-05,82147.0276602
1.5e-05,80417.6394601
1.5625e-05,78793.0767661
1.625e-05,77263.1825776
1.6875e-05,75819.0812941
1.75e-05,74453.0532151
1.8125e-05,73158.3137404
1.875e-05,71928.8684694
1.9375e-05,70759.4080019
2e-05,69645.2027376
2.09375e-05,68068.3973467
2.1875e-05,66594.0740618
2.28125e-05,65211.6084822
2.375e-05,63911.8382075
2.46875e-05,62686.822637
2.5625e-05,61529.6795706
2.65625e-05,60434.3435077
2.75e-05,59395.5116481
2.84375e-05,58408.4988915
2.9375e-05,57469.1157377
3.03125e-05,56573.6632864
3.125e-05,55718.8206375
3.21875e-05,54901.5986908
3.3125e-05,54119.3250461
3.40625e-05,53369.5818033
3.5e-05,52650.1650623
3.59375e-05,51959.0900229
3.6875e-05,51294.544185
3.78125e-05,50654.8724486
3.875e-05,50038.5607136
3.96875e-05,49444.2185798
4.0625e-05,48870.5732472
4.25e-05,47780.7627853
4.4375e-05,46760.7847275
4.625e-05,45803.4815733
4.8125e-05,44902.6932224
5e-05,44053.0739745
5.234375e-05,43055.9409183
5.46875e-05,42123.6233658
5.703125e-05,41249.3894167
5.9375e-05,40427.4589706
5.95886e-05,40354.9679666
6.031645e-05,40110.8637529
6.10443e-05,39871.1388395
6.25e-05,39404.3262134
6.48108e-05,38695.8546738
6.71216e-05,38024.2922364
6.94324e-05,37386.5424009
7.17432e-05,36779.8773672
7.1875e-05,36746.1565653
7.226563e-05,36646.7640598
7.265625e-05,36548.1779543
7.34375e-05,36353.3781435
7.5e-05,35972.9311224
7.8125e-05,35246.5890822
8.125e-05,34562.5731445
8.4375e-05,33916.9281089
8.75e-05,33306.1855753
9.0625e-05,32727.3254436
9.375e-05,32177.6633135
9.6875e-05,31654.824585
0.0001,31156.6899578
0.000103125,30681.382432
0.00010625,30227.2040074
0.000109375,29792.6395838
0.0001125,29376.3118614
0.000115625,28976.9882398
0.00011875,28593.5368192
0.000121875,28224.9269995
0.000125,27870.2380805
0.000128125,27528.6112622
0.00013125,27199.2606447
0.000134375,26881.4652278
0.0001375,26574.5796115
0.00014375,25991.1070806
0.00015,25444.4971518
0.00015625,24931.0470249
0.0001625,24447.5147997
0.00016875,23991.1107759
0.000175,23559.3859536
0.00018125,23150.1992325
0.0001875,22761.6625126
0.00019375,22392.0799937
0.0002,22039.9778757
0.0002076624,21630.188455
0.0002153248,21242.4796354
0.0002229872,20874.943317
0.0002306495,20525.8936996
0.0002383119,20193.8150831
0.0002459743,19877.3813674
0.0002536367,19575.4163526
0.000261299,19286.8387385
0.0002681495,19039.3829264
0.000275,18801.2335149
0.000284375,18489.3897998
0.00029375,18192.6071856
0.000303125,17909.6993721
0.0003125,17639.6366593
0.000321875,17381.4657471
0.00033125,17134.3385356
0.000340625,16897.4918245
0.00035,16670.236114
0.000359375,16451.935804
