Gd152,Gd152
E_eV,Sig_b
1e-05,38697.3702283
1.023823e-05,38245.1401745
1.047646e-05,37808.4402255
1.095292e-05,36978.1926189
1.142938e-05,36200.4353667
1.190583e-05,35469.8954334
1.238229e-05,34781.9377876
1.285874e-05,34132.6184026
1.33352e-05,33518.4222549
1.381165e-05,32936.3283238
1.445103e-05,32200.8953573
1.509041e-05,31512.75071
1.572979e-05,30867.0373492
1.636917e-05,30259.5462465
1.700855e-05,29686.6753776
1.764793e-05,29145.242721
1.828731e-05,28632.486258
1.892668e-05,28145.9699722
1.943964e-05,27773.1354541
1.99526e-05,27414.7800339
2e-05,27382.3578149
2.018538e-05,27256.6819661
2.037075e-05,27132.738129
2.074149e-05,26889.8484885
2.148298e-05,26423.078436
2.222447e-05,25979.9012427
2.296595e-05,25558.3778957
2.370744e-05,25156.8064834
2.444892e-05,24773.6726956
2.519041e-05,24407.5872229
2.593189e-05,24057.3461573
2.7155e-05,23511.293769
2.837811e-05,23000.983322
2.960122e-05,22522.6706912
3.082432e-05,22073.1613548
3.204743e-05,21649.6654941
3.327054e-05,21249.7768928
3.449365e-05,20871.3799366
3.571675e-05,20512.6182131
3.734295e-05,20063.2285774
3.896915e-05,19642.3251339
4.059535e-05,19247.0048633
4.222155e-05,18874.7989487
4.384775e-05,18523.5202755
4.547395e-05,18191.291531
4.710015e-05,17876.4635039
4.872634e-05,17577.5541844
5e-05,17353.715472
5.163697e-05,17078.3030113
5.327393e-05,16815.718737
5.491089e-05,16564.9885429
5.654785e-05,16325.251723
5.818482e-05,16095.7205721
5.982178e-05,15875.7002854
6.145874e-05,15664.5482586
6.30957e-05,15461.6839878
6.459882e-05,15282.2637754
6.610193e-05,15109.0072046
6.910815e-05,14779.657179
7.211438e-05,14471.1770943
7.51206e-05,14181.4427363
7.812683e-05,13908.6498927
8.113305e-05,13651.2029528
8.413928e-05,13407.7232073
8.71455e-05,13176.9881478
9.035913e-05,12943.2163678
9.357275e-05,12721.6380702
9.678638e-05,12511.217648
0.0001,12311.0634951
0.0001023823,12168.8226336
0.0001047646,12031.4864053
0.0001095292,11770.4200406
0.0001142938,11525.9068878
0.0001190583,11296.2890356
0.0001238229,11080.0962741
0.0001285874,10876.075695
0.000133352,10683.1391907
0.0001381165,10500.3139547
0.0001445103,10269.3770935
0.0001509041,10053.342633
0.0001572979,9850.67236282
0.0001636917,9660.04877407
0.0001700855,9480.32415901
0.0001764793,9310.50291088
0.0001828731,9149.70762378
0.0001892668,8997.17059252
0.0001943964,8880.29860237
0.000199526,8767.98514304
0.0002,8757.82597437
0.0002018538,8718.4422081
0.0002037075,8679.60224551
0.0002074149,8603.49583098
0.0002148298,8457.26574237
0.0002222447,8318.45230391
0.0002296595,8186.45251153
0.0002370744,8060.72596157
0.0002444892,7940.79295079
0.0002519041,7826.22257628
0.0002593189,7716.62833542
0.00027155,7545.80618071
0.0002837811,7386.20950192
0.0002960122,7236.66199111
0.0003082432,7096.15604146
0.0003204743,6963.81424704
0.0003327054,6838.88000274
