Cm250,Cm250
E_eV,Sig_b
1e-05,4152.152545
1.03125e-05,4088.796491
1.0625e-05,4028.255846
1.09375e-05,3970.330618
1.125e-05,3914.836041
1.15625e-05,3861.6064696
1.1875e-05,3810.4934566
1.21875e-05,3761.3586663
1.25e-05,3714.0788864
1.28125e-05,3668.5409975
1.3125e-05,3624.6389925
1.34375e-05,3582.2779267
1.375e-05,3541.3689472
1.4375e-05,3463.5921447
1.5e-05,3390.7299352
1.5625e-05,3322.2854801
1.625e-05,3257.8305983
1.6875e-05,3196.9906732
1.75e-05,3139.4415104
1.8125e-05,3084.8953458
1.875e-05,3033.1017139
1.9375e-05,2983.8354268
2e-05,2936.8975729
2.09375e-05,2870.4726088
2.1875e-05,2808.3671535
2.28125e-05,2750.1318508
2.375e-05,2695.3819809
2.46875e-05,2643.7812771
2.5625e-05,2595.0399541
2.65625e-05,2548.904516
2.75e-05,2505.1498147
2.84375e-05,2463.5769389
2.9375e-05,2424.0131833
3.03125e-05,2386.2990372
3.125e-05,2350.2961543
3.21875e-05,2315.8783222
3.3125e-05,2282.9334517
3.40625e-05,2251.3595662
3.5e-05,2221.0627718
3.59375e-05,2191.9602568
3.6875e-05,2163.9753014
3.78125e-05,2137.0392175
3.875e-05,2111.0863987
3.96875e-05,2086.0592996
4.0625e-05,2061.9043866
4.25e-05,2016.016278
4.4375e-05,1973.0697017
4.625e-05,1932.7637997
4.8125e-05,1894.8390746
5e-05,1859.0703881
5.15625e-05,1830.7664274
5.3125e-05,1803.721113
5.46875e-05,1777.8446014
5.625e-05,1753.0550914
5.78125e-05,1729.2778938
5.9375e-05,1706.4463814
6.09375e-05,1684.4989782
6.25e-05,1663.3811399
6.40625e-05,1643.0414033
6.5625e-05,1623.4333262
6.71875e-05,1604.5135076
6.875e-05,1586.2435674
7.1875e-05,1551.5090149
7.5e-05,1518.9702517
7.8125e-05,1488.4051904
8.125e-05,1459.6240511
8.4375e-05,1432.4572807
8.75e-05,1406.7615315
9.0625e-05,1382.4086202
9.375e-05,1359.2844978
9.6875e-05,1337.2892481
0.0001,1316.3350483
0.000103125,1296.3421876
0.00010625,1277.2379977
0.000109375,1258.9599018
0.0001125,1241.4503651
0.000115625,1224.655924
0.00011875,1208.5301562
0.000121875,1193.0286605
0.000125,1178.1130867
0.000128125,1163.7471056
0.00013125,1149.8984385
0.000134375,1136.5368076
0.0001375,1123.6329557
0.00014375,1099.1017329
0.00015,1076.1221627
0.00015625,1054.5368443
0.0001625,1034.2116127
0.00016875,1015.0274473
0.000175,996.8822515
0.00018125,979.6849417
0.0001875,963.3560573
0.00019375,947.8248799
0.0002,933.0285933
0.000209375,912.0908597
0.00021875,892.5158699
0.000228125,874.1620471
0.0002375,856.9075999
0.000246875,840.6468707
0.00025625,825.2882257
0.000265625,810.7512242
0.000275,796.9650077
0.000284375,783.8673901
0.00029375,771.402647
0.000303125,759.5216955
0.0003125,748.1800941
0.000321875,737.3384527
0.00033125,726.9610019
0.000340625,717.0156034
0.00035,707.4729496
0.000359375,698.3068436
0.00036875,689.4929193
0.000378125,681.0093007
0.0003875,672.8358629
0.000396875,664.9541708
0.00040625,657.3473003
0.000425,642.8966375
0.00044375,629.3729159
0.0004625,616.6811907
0.00048125,604.7395405
0.0005,593.476877
0.000515625,584.5650656
0.00053125,576.0497374
0.000546875,567.902435
0.0005625,560.0974017
0.000578125,552.6113813
0.00059375,545.4231584
0.000609375,538.5134081
0.000625,531.8647457
0.000640625,525.461077
0.00065625,519.2877983
0.000671875,513.3313561
0.0006875,507.5792671
0.00071875,496.6436171
0.00075,486.3995071
0.00078125,476.776859
0.0008125,467.715367
0.00084375,459.1625474
0.000875,451.0724884
0.00090625,443.4049795
0.0009375,436.1244414
0.00096875,429.1993358
0.001,422.6017156
0.00103125,416.3065842
0.0010625,410.2914157
0.00109375,404.536145
0.001125,399.0225672
0.00115625,393.73411812
0.0011875,388.65603384
0.00121875,383.77476084
0.00125,379.07764587
0.00128125,374.553636
0.0013125,370.19228852
0.00134375,365.98406095
0.001375,361.92023102
0.0014375,354.1939158
0.0015,346.95600788
0.0015625,340.15691439
0.001625,333.75417421
0.0016875,327.7105577
0.00175,321.9938464
0.0018125,316.5755229
0.001875,311.43041067
0.0019375,306.5363339
0.002,301.87362745
0.00209375,295.27492592
0.0021875,289.10520625
0.00228125,283.31984684
0.002375,277.88049769
0.00246875,272.75398015
0.0025625,267.9115867
0.00265625,263.32776073
0.00275,258.98050646
0.00284375,254.85009876
0.0029375,250.91896307
0.00303125,247.17177536
0.003125,243.59458198
0.00321875,240.1747497
0.0033125,236.90135559
0.00340625,233.76396699
0.0035,230.75347152
0.00359375,227.86162699
0.0036875,225.08083142
0.00378125,222.40405301
0.003875,219.82499011
0.00396875,217.33781119
0.0040625,214.93732486
0.00425,210.37653494
0.0044375,206.10783123
0.004625,202.10125593
0.0048125,198.33094231
0.005,194.77474453
0.00515625,191.96047036
0.0053125,189.27123883
0.00546875,186.69810758
0.005625,184.23288452
0.00578125,181.86833771
0.0059375,179.59765544
0.00609375,177.4149361
0.00625,175.31454827
0.00640625,173.29150061
0.0065625,171.34107191
0.00671875,169.45906107
0.006875,167.64155706
0.0071875,164.18573583
0.0075,160.94788149
0.0078125,157.90582829
0.008125,155.04076125
0.0084375,152.33593606
0.00875,149.77692896
0.0090625,147.35132664
0.009375,145.04770619
0.0096875,142.85633503
0.01,140.76833086
0.0103125,138.77585162
0.010625,136.87179548
0.0109375,135.04985077
0.01125,133.30431601
0.0115625,131.63006983
0.011875,130.02222101
0.0121875,128.47664844
0.0125,126.98925107
0.0128125,125.55672799
0.013125,124.17546833
0.0134375,122.84267129
0.01375,121.55543616
0.014375,119.10750895
0.015,116.81368192
0.015625,114.658111
0.01625,112.62750269
0.016875,110.71015395
0.0175,108.89603215
0.018125,107.17619496
0.01875,105.54276032
0.019375,103.9887064
0.02,102.50780157
0.0206625,101.01171287
0.021325,99.58558243
0.0219875,98.22411887
0.02265,96.92256094
0.0233125,95.67663753
0.023975,94.48245762
0.0246375,93.33654031
0.0253,92.23569475
0.02645782,90.41144169
0.02761563,88.70246871
0.02877344,87.09714277
0.02993125,85.58548127
0.03108907,84.15876192
0.03224688,82.80928272
0.03340469,81.53012186
0.0345625,80.31508773
0.03552735,79.3476377
0.03649219,78.41824761
0.03745704,77.5244768
0.03842188,76.66414471
0.03938673,75.83523081
0.04035157,75.03590462
0.04131641,74.2644357
0.04228125,73.51924363
0.04421094,72.10191853
0.04614063,70.77346659
0.04807032,69.52487547
0.05,68.34837314
0.0515625,67.44389087
0.053125,66.57903894
0.0546875,65.75098659
0.05625,64.95716315
0.0578125,64.19522802
0.059375,63.46311066
0.0609375,62.75889056
0.0625,62.08086728
0.0640625,61.42750043
0.065625,60.79738962
0.0671875,60.1891245
0.06875,59.60143474
0.071875,58.48265994
0.075,57.43237296
0.078125,56.44386206
0.08125,55.51149575
0.084375,54.6301327
