Ag109,Ag109
E_eV,Sig_b
0.078125,54.853391
0.08125,53.894053
0.084375,52.989664
0.0875,52.135275
0.090625,51.326534
0.09375,50.55959
0.096875,49.831033
0.1,49.137821
0.103125,48.477254
0.10625,47.846892
0.109375,47.244554
0.1125,46.668299
0.115625,46.116348
0.11875,45.58714
0.121875,45.079235
0.125,44.591333
0.128125,44.122172
0.13125,43.670584
0.1375,42.815653
0.14375,42.018819
0.15,41.27408
0.15625,40.576394
0.1625,39.921292
0.16875,39.304793
0.175,38.723396
0.18125,38.174071
0.1875,37.654197
0.19375,37.161464
0.2,36.693681
0.209375,36.034217
0.21875,35.420183
0.228125,34.847058
0.2375,34.310941
0.246875,33.808292
0.25625,33.33602
0.265625,32.891405
0.275,32.472067
0.284375,32.075886
0.29375,31.701
0.303125,31.345741
0.3125,31.008627
0.321875,30.688319
0.33125,30.383626
0.340625,30.093488
0.35,29.817026
0.359375,29.553498
0.36875,29.302095
0.3875,28.831494
0.40625,28.399223
0.425,28.001799
0.44375,27.635684
0.4625,27.297736
0.5,26.697158
0.53125,26.261627
0.5625,25.875071
0.625,25.228558
0.6875,24.719864
0.75,24.321665
0.8125,24.014412
0.875,23.785554
0.9375,23.622394
1.0,23.51526
1.0625,23.45992
1.15625,23.464219
1.25,23.562621
1.375,23.829031
1.5,24.241248
1.625,24.796681
1.75,25.501995
1.875,26.361957
2.0,27.383621
2.09375,28.269677
2.1875,29.271698
2.28125,30.399485
2.375,31.667358
2.46875,33.092476
2.5625,34.695465
2.65625,36.501111
2.75,38.539248
2.84375,40.836027
2.890625,42.094808
2.9375,43.443998
3.001954,45.45139
3.066407,47.652412
3.13086,50.071232
3.195313,52.736022
3.259766,55.679789
3.291993,57.268184
3.324219,58.941353
3.356446,60.705371
3.388672,62.56664
3.420899,64.532383
3.453125,66.610094
3.5,69.848227
3.535157,72.458172
3.570313,75.240358
3.605469,78.214483
3.640625,81.398301
3.675782,84.809607
3.710938,88.469168
3.746094,92.401368
3.78125,96.633726
3.813477,100.803655
3.845704,105.278879
3.877931,110.089813
3.910157,115.270451
3.942384,120.859786
3.97461,126.901647
4.006837,133.44622
4.02295,136.924447
4.039063,140.550358
4.065431,146.824956
4.091798,153.558367
4.118165,160.796809
4.144532,168.591815
4.170899,177.001912
4.197266,186.09361
4.223633,195.942399
4.25,206.634768
4.274903,217.596796
4.299805,229.493676
4.312257,235.826445
4.324708,242.434133
4.337159,249.333127
4.34961,256.54059
4.362062,264.07602
4.374513,271.95857
4.386964,280.21131
4.399415,288.85853
4.411866,297.92638
4.424317,307.44328
4.436768,317.4396
4.449219,327.94829
4.465333,342.36707
4.481446,357.78666
4.497559,374.30237
4.513672,392.01979
4.529786,411.05966
4.545899,431.55419
4.562012,453.65697
4.578125,477.54114
4.594239,503.40522
4.610352,531.47135
4.626466,562.00101
4.642579,595.28769
4.658693,631.67908
4.674806,671.56936
4.682863,692.97114
4.690919,715.4257
4.698976,739.00934
4.707032,763.79285
4.715089,789.86593
4.723146,817.31605
4.731203,846.24205
4.739259,876.74786
4.747316,908.95878
4.755372,942.99569
4.763429,979.00835
4.771485,1017.1429
4.779542,1057.57987
4.787599,1100.50297
4.795656,1146.1207
4.803712,1194.65815
4.811769,1246.38364
4.819825,1301.5691
4.827882,1360.54728
4.835938,1423.65903
4.844727,1497.70543
4.853516,1577.7386
4.862305,1664.4229
4.871094,1758.5159
4.879883,1860.8846
4.888672,1972.5254
4.897461,2094.5808
4.90625,2228.3759
4.914307,2362.644
4.922364,2509.4234
4.930421,2670.2787
4.938477,2846.9878
4.946534,3041.6687
4.950563,3146.4874
4.954591,3256.6896
4.95862,3372.6866
4.962648,3494.8015
4.966676,3623.4688
4.970704,3759.1246
4.978028,4025.2299
4.98169,4168.4745
4.985352,4319.0604
4.989014,4477.4275
4.992676,4644.0355
4.996338,4819.3676
5.0,5003.9311
5.00556,5302.9848
5.011119,5626.4034
5.016679,5976.3225
5.022238,6354.6994
5.027798,6763.7893
5.033357,7205.5531
5.038916,7682.1118
5.044475,8195.3865
5.049572,8699.7418
5.054668,9237.4148
5.059764,9809.3406
5.06486,10416.0173
5.069956,11057.5318
5.075052,11733.462
5.080148,12442.837
5.085244,13184.042
5.09053,13984.016
5.095815,14812.079
5.106385,16534.393
5.127525,20060.809
5.134777,21220.384
5.142029,22313.346
5.149281,23313.286
5.156532,24194.231
5.163784,24932.386
5.171035,25506.58
5.178287,25900.142
5.185538,26101.273
5.19,26126.617
5.194463,26076.483
5.201715,25836.065
5.208966,25406.04
5.216218,24799.478
5.223469,24034.495
5.230721,23132.661
5.237972,22118.638
5.245224,21017.951
5.252475,19856.95
5.277762,15677.133
5.284084,14668.45
5.290406,13694.581
5.296728,12762.37
5.303049,11876.983
5.309412,11036.267
5.315775,10248.1781
5.322138,9513.3261
5.328501,8831.2295
5.334864,8200.5362
5.341227,7619.2292
5.34759,7084.8097
5.353952,6594.5349
5.360315,6145.2588
5.366678,5734.0002
5.373041,5357.7178
5.379404,5013.4624
5.385767,4698.4158
5.39213,4409.9298
5.398493,4145.5409
5.404855,3903.0135
5.410351,3709.4652
5.415846,3529.4547
5.421341,3361.8238
5.426836,3205.5431
5.432332,3059.649
5.437827,2923.3391
5.443322,2795.8078
5.448817,2676.347
5.454313,2564.2918
5.459808,2459.0989
5.465303,2360.214
5.470798,2267.1539
5.476293,2179.4774
5.481788,2096.7839
5.487283,2018.7067
5.492778,1944.9122
5.499141,1864.4143
5.505504,1788.8212
5.511867,1717.747
5.51823,1650.839
5.524593,1587.7798
5.530956,1528.2805
5.537319,1472.0806
5.543681,1418.9476
5.556407,1320.9913
5.569133,1232.8972
5.581859,1153.3837
5.594584,1081.3794
5.608467,1010.3082
5.622349,946.0796
5.636232,887.835
5.650114,834.8607
5.663997,786.5321
5.677879,742.32609
5.691762,701.77871
5.705644,664.49945
5.71837,632.89807
5.731096,603.51874
5.743822,576.1565
5.756547,550.63199
5.769273,526.78057
5.781999,504.46106
5.794725,483.54542
5.80745,463.92036
5.820176,445.47919
5.832902,428.13042
5.845628,411.78946
5.858353,396.38112
5.871079,381.83339
5.883805,368.08442
5.896531,355.07685
5.909256,342.75916
5.934708,320.00136
5.960159,299.4765
5.985611,280.90009
6.011062,264.03424
6.036514,248.67384
6.061965,234.64588
6.087417,221.79975
6.112868,210.00744
6.131379,202.02836
6.149889,194.51012
6.168399,187.41811
6.186909,180.72105
6.205419,174.39003
6.223929,168.39821
6.260949,157.33488
6.29797,147.35806
6.33499,138.32934
6.37201,130.13486
6.40903,122.67686
6.434482,117.93187
6.459933,113.47026
6.485385,109.26957
6.510836,105.31015
6.536288,101.57356
6.561739,98.04364
6.587191,94.70515
6.612642,91.54474
6.663545,85.7089
6.714448,80.44882
6.765351,75.69107
6.816254,71.37359
6.867157,67.44363
6.91806,63.85607
6.968963,60.57223
7.019866,57.55867
7.070769,54.78649
7.121672,52.23053
7.172575,49.86885
7.223478,47.68251
7.26744,45.92322
7.311402,44.27413
7.355364,42.72554
7.399325,41.26712
7.443287,39.89086
7.487248,38.59153
7.53121,37.36418
7.575171,36.2039
7.619133,35.10585
7.663094,34.06571
7.707056,33.0794
7.751017,32.14329
7.83894,30.40844
7.926863,28.83739
7.977766,27.99468
8.028669,27.19666
8.079572,26.4402
8.130475,25.72246
8.232281,24.39284
8.334087,23.18938
8.435893,22.09649
8.537699,21.100918
8.639505,20.191331
8.74131,19.358042
8.843116,18.592635
8.944922,17.887864
9.046728,17.237415
9.148534,16.635778
9.25034,16.078123
