U231,U231
E_eV,Sig_b
1e-05,13640.07847
1.03125e-05,13431.85097
1.0625e-05,13232.89247
1.09375e-05,13042.51234
1.125e-05,12860.12467
1.15625e-05,12685.17749
1.1875e-05,12517.19325
1.21875e-05,12355.7075
1.25e-05,12200.30893
1.28125e-05,12050.63876
1.3125e-05,11906.35068
1.34375e-05,11767.1208
1.375e-05,11632.66678
1.4375e-05,11377.03621
1.5e-05,11137.54327
1.5625e-05,10912.58298
1.625e-05,10700.72114
1.6875e-05,10500.74482
1.75e-05,10311.58103
1.8125e-05,10132.28875
1.875e-05,9962.03826
1.9375e-05,9800.0942
2e-05,9645.80249
2.09375e-05,9427.45215
2.1875e-05,9223.29522
2.28125e-05,9031.85874
2.375e-05,8851.87256
2.46875e-05,8682.2395
2.5625e-05,8522.00422
2.65625e-05,8370.32977
2.75e-05,8226.48062
2.84375e-05,8089.80501
2.9375e-05,7959.72771
3.03125e-05,7835.73219
3.125e-05,7717.3614
3.21875e-05,7604.20064
3.3125e-05,7495.87944
3.40625e-05,7392.06212
3.5e-05,7292.44445
3.59375e-05,7196.75214
3.6875e-05,7104.73321
3.78125e-05,7016.15893
3.875e-05,6930.81936
3.96875e-05,6848.52167
4.0625e-05,6769.09032
4.25e-05,6618.18802
4.4375e-05,6476.95684
4.625e-05,6344.40398
4.8125e-05,6219.67795
5e-05,6102.03604
5.15625e-05,6008.94408
5.3125e-05,5919.99169
5.46875e-05,5834.88015
5.625e-05,5753.33983
5.78125e-05,5675.13017
5.9375e-05,5600.02838
6.09375e-05,5527.83485
6.25e-05,5458.3668
6.40625e-05,5391.45632
6.5625e-05,5326.95074
6.71875e-05,5264.70921
6.875e-05,5204.60195
7.1875e-05,5090.32507
7.5e-05,4983.26819
7.8125e-05,4882.70336
8.125e-05,4787.99935
8.4375e-05,4698.60719
8.75e-05,4614.05032
9.0625e-05,4533.90757
9.375e-05,4457.80651
9.6875e-05,4385.42003
0.0001,4316.45467
0.000103125,4250.64953
0.00010625,4187.76971
0.000109375,4127.60618
0.0001125,4069.96828
0.000115625,4014.68388
0.00011875,3961.59712
0.000121875,3910.5661
0.000125,3861.46111
0.000128125,3814.16592
0.00013125,3768.5703
0.000134375,3724.57467
0.0001375,3682.08795
0.00014375,3601.31248
0.00015,3525.64176
0.00015625,3454.5595
0.0001625,3387.6207
0.00016875,3324.43765
0.000175,3264.67261
0.00018125,3208.02691
0.0001875,3154.23853
0.00019375,3103.07572
0.0002,3054.33179
0.000209375,2985.35205
0.00021875,2920.85797
0.000228125,2860.38318
0.0002375,2803.527
0.000246875,2749.94298
0.00025625,2699.32824
0.000265625,2651.41958
0.000275,2605.98228
0.000284375,2562.81272
0.00029375,2521.72813
0.000303125,2482.56498
0.0003125,2445.17833
0.000321875,2409.43824
0.00033125,2375.22683
0.000340625,2342.43902
0.00035,2310.97759
0.000359375,2280.75683
0.00036875,2251.69675
0.000378125,2223.72388
0.0003875,2196.77315
0.000396875,2170.78404
0.00040625,2145.7002
0.000425,2098.04641
0.00044375,2053.44796
0.0004625,2011.59124
0.00048125,1972.20588
0.0005,1935.05905
0.000515625,1905.66477
0.00053125,1877.57697
0.000546875,1850.70237
0.0005625,1824.95679
0.000578125,1800.26218
0.00059375,1776.54949
0.000609375,1753.75481
0.000625,1731.82082
0.000640625,1710.69551
0.00065625,1690.32821
0.000671875,1670.67672
0.0006875,1651.69977
0.00071875,1615.61971
0.00075,1581.81976
0.00078125,1550.0696
0.0008125,1520.17029
0.00084375,1491.94774
0.000875,1465.25259
0.00090625,1439.95082
0.0009375,1415.92576
0.00096875,1393.07242
0.001,1371.30008
0.00103125,1350.52532
0.0010625,1330.67475
0.00109375,1311.68132
0.001125,1293.48455
0.00115625,1276.03136
0.0011875,1259.27205
0.00121875,1243.16228
0.00125,1227.65996
0.00128125,1212.72934
0.0013125,1198.33481
0.00134375,1184.44603
0.001375,1171.03285
0.0014375,1145.53245
0.0015,1121.64239
0.0015625,1099.20147
0.001625,1078.06898
0.0016875,1058.12147
0.00175,1039.25254
0.0018125,1021.36847
0.001875,1004.38638
0.0019375,988.23288
0.002,972.84271
0.00209375,951.06291
0.0021875,930.69895
0.00228125,911.60373
0.002375,893.65092
0.00246875,876.73074
0.0025625,860.7481
0.00265625,845.61956
0.00275,831.27163
0.00284375,817.6395
0.0029375,804.66547
0.00303125,792.2985
0.003125,780.4925
0.00321875,769.20647
0.0033125,758.40328
0.00340625,748.04942
0.0035,738.11463
0.00359375,728.57137
0.0036875,719.39455
0.00378125,710.5613
0.003875,702.05073
0.00396875,693.84353
0.0040625,685.92218
0.00425,670.87318
0.0044375,656.78848
0.004625,643.56919
0.0048125,631.1302
0.005,619.39772
0.00515625,610.1137
0.0053125,601.24254
0.00546875,592.75446
0.005625,584.62275
0.00578125,576.82331
0.0059375,569.33402
0.00609375,562.13488
0.00625,555.20763
0.00640625,548.53563
0.0065625,542.10344
0.00671875,535.89712
0.006875,529.90361
0.0071875,518.50831
0.0075,507.83275
0.0078125,497.8039
0.008125,488.35889
0.0084375,479.44337
0.00875,471.0094
0.0090625,463.01548
0.009375,455.42448
0.0096875,448.20394
0.01,441.32464
0.0103125,434.76063
0.010625,428.48869
0.0109375,422.48775
0.01125,416.73902
0.0115625,411.22534
0.011875,405.93103
0.0121875,400.84214
0.0125,395.94563
0.0128125,391.22961
0.013125,386.68327
0.0134375,382.29658
0.01375,378.06034
0.014375,370.00597
0.015,362.45969
0.015625,355.37007
0.01625,348.69271
0.016875,342.3894
0.0175,336.42653
0.018125,330.77482
0.01875,325.40815
0.019375,320.3034
0.02,315.44013
0.0206625,310.52814
0.021325,305.84715
0.0219875,301.37995
0.02265,297.11095
0.0233125,293.0262
0.023975,289.11313
0.0246375,285.36029
0.0253,281.75727
0.02645782,275.79161
0.02761563,270.20838
0.02877344,264.968
0.02993125,260.03641
0.03108907,255.38411
0.03224688,250.98556
0.03340469,246.81772
0.0345625,242.86054
0.03552735,239.71087
0.03649219,236.68614
0.03745704,233.77834
0.03842188,230.98034
0.03938673,228.28545
0.04035157,225.68759
0.04131641,223.18117
0.04228125,220.76098
0.04421094,216.16021
0.04614063,211.8511
0.04807032,207.80405
0.05,203.99344
0.0515625,201.06591
0.053125,198.26838
0.0546875,195.59156
0.05625,193.02699
0.0578125,190.56704
0.059375,188.20477
0.0609375,185.93402
0.0625,183.74919
0.0640625,181.64529
0.065625,179.61745
0.0671875,177.66125
0.06875,175.77237
0.071875,172.18025
0.075,168.81267
0.078125,165.64756
0.08125,162.66625
0.084375,159.85188
0.0875,157.18963
0.090625,154.66623
0.09375,152.26999
0.096875,149.99065
0.1,147.81893
0.103125,145.746612
0.10625,143.766334
0.109375,141.871523
0.1125,140.056115
0.115625,138.314828
0.11875,136.642577
0.121875,135.035266
0.125,133.49169
0.1265625,132.749426
0.128125,132.044111
0.1289063,131.717285
0.1296875,131.420778
0.1304688,131.171478
0.13125,130.995739
0.1316407,130.946868
0.1320313,130.932437
0.1324219,130.959829
0.1328125,131.038312
0.1332032,131.178825
0.1335938,131.393814
0.1339844,131.698261
0.1341797,131.889293
0.134375,132.109155
0.1345704,132.360744
0.1347657,132.646386
0.134961,132.969215
0.1351563,133.33215
0.1353516,133.738447
0.1355469,134.191799
0.1357422,134.695617
0.1359375,135.25383
0.1361329,135.870978
0.1363282,136.550551
0.1365235,137.297324
0.1367188,138.116153
0.1369141,139.01184
0.1371094,139.98959
0.1373047,141.05465
0.1375,142.2126
0.1376954,143.46984
0.1378907,144.831
0.138086,146.30285
0.1382813,147.89163
0.1384766,149.60368
0.1386719,151.4458
0.1387696,152.41815
0.1388672,153.42454
0.1389649,154.4679
0.1390625,155.54684
0.1391602,156.66451
