W184,W184
E_eV,Sig_b
1e-05,107.18912
1.03125e-05,105.57502
1.0625e-05,104.03298
1.09375e-05,102.55783
1.125e-05,101.14487
1.15625e-05,99.78986
1.1875e-05,98.48897
1.21875e-05,97.23871
1.25e-05,96.03589
1.28125e-05,94.87757
1.3125e-05,93.76111
1.34375e-05,92.68405
1.375e-05,91.64413
1.4375e-05,89.66758
1.5e-05,87.81666
1.5625e-05,86.07864
1.625e-05,84.44256
1.6875e-05,82.89888
1.75e-05,81.43924
1.8125e-05,80.05633
1.875e-05,78.74369
1.9375e-05,77.49561
2e-05,76.30697
2.09375e-05,74.62568
2.1875e-05,73.05461
2.28125e-05,71.5823
2.375e-05,70.19888
2.46875e-05,68.89582
2.5625e-05,67.66566
2.65625e-05,66.50191
2.75e-05,65.39886
2.84375e-05,64.35142
2.9375e-05,63.35513
3.03125e-05,62.40598
3.125e-05,61.50039
3.21875e-05,60.63517
3.3125e-05,59.80743
3.40625e-05,59.01456
3.5e-05,58.2542
3.59375e-05,57.52422
3.6875e-05,56.82265
3.78125e-05,56.14773
3.875e-05,55.49782
3.96875e-05,54.87143
4.0625e-05,54.2672
4.25e-05,53.12024
4.4375e-05,52.04796
4.625e-05,51.0427
4.8125e-05,50.09781
5e-05,49.20757
5.15625e-05,48.50381
5.3125e-05,47.83194
5.46875e-05,47.18964
5.625e-05,46.57486
5.78125e-05,45.98569
5.9375e-05,45.42043
6.09375e-05,44.87753
6.25e-05,44.35559
6.40625e-05,43.85329
6.5625e-05,43.36946
6.71875e-05,42.90301
6.875e-05,42.45294
7.1875e-05,41.59831
7.5e-05,40.79902
7.8125e-05,40.04944
8.125e-05,39.34469
8.4375e-05,38.68054
8.75e-05,38.05332
9.0625e-05,37.45978
9.375e-05,36.89704
9.6875e-05,36.3626
0.0001,35.8542
0.000103125,35.36983
0.00010625,34.90769
0.000109375,34.46615
0.0001125,34.04378
0.000115625,33.63923
0.00011875,33.25132
0.000121875,32.87897
0.000125,32.52117
0.000128125,32.17704
0.00013125,31.84572
0.000134375,31.52646
0.0001375,31.21858
0.00014375,30.63437
0.00015,30.08852
0.00015625,29.57707
0.0001625,29.09663
0.00016875,28.64426
0.000175,28.21738
0.00018125,27.81373
0.0001875,27.431335
0.00019375,27.068423
0.0002,26.723431
0.000209375,26.236514
0.00021875,25.782698
0.000228125,25.358474
0.0002375,24.960816
0.000246875,24.587111
0.00025625,24.235117
0.000265625,23.902841
0.000275,23.588543
0.000284375,23.29069
0.00029375,23.007924
0.000303125,22.739047
0.0003125,22.482977
0.000321875,22.238741
0.00033125,22.005482
0.000340625,21.782403
0.00035,21.568811
0.000359375,21.364058
0.00036875,21.167559
0.000378125,20.978796
0.0003875,20.797272
0.000396875,20.622549
0.00040625,20.454219
0.000425,20.13527
0.00044375,19.837776
0.0004625,19.559456
0.00048125,19.298377
0.0005,19.052854
0.000515625,18.859068
0.00053125,18.674316
0.000546875,18.497919
0.0005625,18.329293
0.000578125,18.167867
0.00059375,18.013163
0.000609375,17.86473
0.000625,17.722161
0.000640625,17.585084
0.00065625,17.453159
0.000671875,17.326075
0.0006875,17.203546
0.00071875,16.971123
0.00075,16.754024
0.00078125,16.550652
0.0008125,16.359631
0.00084375,16.179772
0.000875,16.010039
0.00090625,15.849522
0.0009375,15.697424
0.00096875,15.553042
0.001,15.415749
0.00103125,15.284988
0.0010625,15.16026
0.00109375,15.041121
0.001125,14.927167
0.00115625,14.818036
0.0011875,14.713399
0.00121875,14.612959
0.00125,14.516444
0.00128125,14.423608
0.0013125,14.334223
0.00134375,14.248084
0.001375,14.164998
0.0014375,14.007303
0.0015,13.859895
0.0015625,13.721708
0.001625,13.591826
0.0016875,13.469452
0.00175,13.353896
0.0018125,13.244549
0.001875,13.140881
0.0019375,13.042416
0.002,12.948737
0.00209375,12.816384
0.0021875,12.692871
0.00228125,12.577259
0.002375,12.468743
0.00246875,12.366631
0.0025625,12.270322
0.00265625,12.179285
0.00275,12.093062
0.00284375,12.011244
0.0029375,11.93347
0.00303125,11.859419
0.003125,11.788804
0.00321875,11.72137
0.0033125,11.656885
0.00340625,11.595142
0.0035,11.535954
0.00359375,11.479147
0.0036875,11.424568
0.00378125,11.372076
0.003875,11.321542
0.00396875,11.272845
0.0040625,11.225881
0.00425,11.136751
0.0044375,11.053445
0.004625,10.975356
0.0048125,10.901963
0.005,10.832817
0.00515625,10.778154
0.0053125,10.725965
0.00546875,10.67607
0.005625,10.628306
0.00578125,10.582527
0.0059375,10.538598
0.00609375,10.4964
0.00625,10.455822
0.00640625,10.416763
0.0065625,10.37913
0.00671875,10.34284
0.006875,10.307814
0.0071875,10.241274
0.0075,10.179
0.0078125,10.120556
0.008125,10.065566
0.0084375,10.013701
0.00875,9.964679
0.0090625,9.91825
0.009375,9.874193
0.0096875,9.832315
0.01,9.792442
0.0103125,9.754421
0.010625,9.718111
0.0109375,9.683391
0.01125,9.650147
0.0115625,9.618279
0.011875,9.587693
0.0121875,9.558308
0.0125,9.530046
0.0128125,9.502838
0.013125,9.47662
0.0134375,9.451332
0.01375,9.42692
0.014375,9.380534
0.015,9.337106
0.015625,9.296334
0.01625,9.257959
0.016875,9.221755
0.0175,9.187526
0.018125,9.155098
0.01875,9.124322
0.019375,9.095061
0.02,9.067195
0.0206625,9.039062
0.021325,9.012261
0.0219875,8.986693
0.02265,8.962265
0.0233125,8.938895
0.023975,8.916508
0.0246375,8.895039
0.0253,8.874425
