Am240,Am240
E_eV,Sig_b
1e-05,89217.30889
1.03125e-05,87855.29281
1.0625e-05,86553.82467
1.09375e-05,85308.54246
1.125e-05,84115.50436
1.15625e-05,82971.1787
1.1875e-05,81872.32401
1.21875e-05,80816.01892
1.25e-05,79799.57219
1.28125e-05,78820.54268
1.3125e-05,77876.69937
1.34375e-05,76965.9613
1.375e-05,76086.46759
1.4375e-05,74414.31009
1.5e-05,72847.78113
1.5625e-05,71376.21577
1.625e-05,69990.38974
1.6875e-05,68682.28936
1.75e-05,67444.92138
1.8125e-05,66272.11296
1.875e-05,65158.4616
1.9375e-05,64099.12508
2e-05,63089.85443
2.09375e-05,61661.56003
2.1875e-05,60326.09497
2.28125e-05,59073.8298
2.375e-05,57896.46472
2.46875e-05,56786.82943
2.5625e-05,55738.66804
2.65625e-05,54746.49505
2.75e-05,53805.51424
2.84375e-05,52911.45267
2.9375e-05,52060.54561
3.03125e-05,51249.43251
3.125e-05,50475.10001
3.21875e-05,49734.85185
3.3125e-05,49026.26594
3.40625e-05,48347.13428
3.5e-05,47695.47594
3.59375e-05,47069.49512
3.6875e-05,46467.54306
3.78125e-05,45888.11408
3.875e-05,45329.85056
3.96875e-05,44791.48592
4.0625e-05,44271.86664
4.25e-05,43284.70925
4.4375e-05,42360.79597
4.625e-05,41493.66486
4.8125e-05,40677.72437
5e-05,39908.12134
5.15625e-05,39299.11737
5.3125e-05,38717.19229
5.46875e-05,38160.39823
5.625e-05,37626.95939
5.78125e-05,37115.30305
5.9375e-05,36623.98358
6.09375e-05,36151.68337
6.25e-05,35697.21389
6.40625e-05,35259.47167
6.5625e-05,34837.46123
6.71875e-05,34430.25419
6.875e-05,34037.02015
7.1875e-05,33289.38274
7.5e-05,32588.97253
7.8125e-05,31931.02739
8.125e-05,31311.41652
8.4375e-05,30726.56532
8.75e-05,30173.33942
9.0625e-05,29648.9746
9.375e-05,29151.06981
9.6875e-05,28677.4451
0.0001,28226.20864
0.000103125,27795.64169
0.00010625,27384.22159
0.000109375,26990.56172
0.0001125,26613.41657
0.000115625,26251.67865
0.00011875,25904.30751
0.000121875,25570.38576
0.000125,25249.07105
0.000128125,24939.59103
0.00013125,24641.22442
0.000134375,24353.32893
0.0001375,24075.30831
0.00014375,23546.72577
0.00015,23051.52716
0.00015625,22586.36107
0.0001625,22148.28629
0.00016875,21734.78577
0.000175,21343.64761
0.00018125,20972.917
0.0001875,20620.88326
0.00019375,20286.01678
0.0002,19966.984
0.000209375,19515.48401
0.00021875,19093.33938
0.000228125,18697.48892
0.0002375,18325.31062
0.000246875,17974.5456
0.00025625,17643.2021
0.000265625,17329.56748
0.000275,17032.10215
0.000284375,16749.47463
0.00029375,16480.48647
0.000303125,16224.07929
0.0003125,15979.29474
0.000321875,15745.28752
0.00033125,15521.27635
0.000340625,15306.58199
0.00035,15100.56723
