Am243,Am243
E_eV,Sig_b
1e-05,3990.317827
1.03125e-05,3929.421989
1.0625e-05,3871.233367
1.09375e-05,3815.557341
1.125e-05,3762.217484
1.15625e-05,3711.055473
1.1875e-05,3661.926132
1.21875e-05,3614.700367
1.25e-05,3569.256196
1.28125e-05,3525.485728
1.3125e-05,3483.288141
1.34375e-05,3442.571662
1.375e-05,3403.251613
1.4375e-05,3328.493249
1.5e-05,3258.459492
1.5625e-05,3192.671407
1.625e-05,3130.717613
1.6875e-05,3072.238168
1.75e-05,3016.9215
1.8125e-05,2964.492352
1.875e-05,2914.706735
1.9375e-05,2867.351881
2e-05,2822.234225
2.09375e-05,2758.385337
2.1875e-05,2698.687154
2.28125e-05,2642.710138
2.375e-05,2590.081261
2.46875e-05,2540.480896
2.5625e-05,2493.628748
2.65625e-05,2449.28083
2.75e-05,2407.22039
2.84375e-05,2367.258856
2.9375e-05,2329.226867
3.03125e-05,2292.973198
3.125e-05,2258.364743
3.21875e-05,2225.27954
3.3125e-05,2193.609677
3.40625e-05,2163.257375
3.5e-05,2134.132914
3.59375e-05,2106.156631
3.6875e-05,2079.254932
3.78125e-05,2053.360268
3.875e-05,2028.411157
3.96875e-05,2004.352132
4.0625e-05,1981.13077
4.25e-05,1937.016556
4.4375e-05,1895.730781
4.625e-05,1856.98309
4.8125e-05,1820.523489
5e-05,1786.135227
5.15625e-05,1758.924206
5.3125e-05,1732.923696
5.46875e-05,1708.045991
5.625e-05,1684.212468
5.78125e-05,1661.353537
5.9375e-05,1639.402702
6.09375e-05,1618.302492
6.25e-05,1597.998464
6.40625e-05,1578.443248
6.5625e-05,1559.591467
6.71875e-05,1541.4008
6.875e-05,1523.834949
7.1875e-05,1490.437615
7.5e-05,1459.15247
7.8125e-05,1429.764849
8.125e-05,1402.091262
8.4375e-05,1375.970467
8.75e-05,1351.262362
9.0625e-05,1327.845971
9.375e-05,1305.610453
9.6875e-05,1284.461052
0.0001,1264.312099
0.000103125,1245.086997
0.00010625,1226.717217
0.000109375,1209.140295
0.0001125,1192.302775
0.000115625,1176.152286
0.00011875,1160.644481
0.000121875,1145.738029
0.000125,1131.394651
0.000128125,1117.580071
0.00013125,1104.262057
0.000134375,1091.41139
0.0001375,1079.002852
0.00014375,1055.410476
0.00015,1033.310591
0.00015625,1012.552082
0.0001625,993.004058
0.00016875,974.5536914
0.000175,957.1018331
0.00018125,940.561764
0.0001875,924.856706
0.00019375,909.9186701
0.0002,895.6873185
0.000209375,875.5488341
0.00021875,856.7206789
0.000228125,839.066985
0.0002375,822.4703251
0.000246875,806.8294889
0.00025625,792.0561633
0.000265625,778.0730157
0.000275,764.8119806
0.000284375,752.213049
0.00029375,740.2229644
0.000303125,728.7942084
0.0003125,717.8843989
0.000321875,707.4552868
0.00033125,697.4727464
0.000340625,687.905679
0.00035,678.726103
0.000359375,669.9085564
0.00036875,661.4299937
0.000378125,653.2689803
0.0003875,645.4063963
0.000396875,637.8244318
0.00040625,630.5067861
0.000425,616.6055952
0.00044375,603.5961785
0.0004625,591.3870931
0.00048125,579.8994763
0.0005,569.0651326
0.000515625,560.4921824
0.00053125,552.3007968
0.000546875,544.4634198
0.0005625,536.9553161
0.000578125,529.7540639
0.00059375,522.8393523
0.000609375,516.1925816
0.000625,509.7969633
0.000640625,503.637116
0.00065625,497.698867
0.000671875,491.9692482
0.0006875,486.4362993
0.00071875,475.9172916
0.00075,466.0636537
0.00078125,456.8079539
0.0008125,448.09221
0.00084375,439.8658813
0.000875,432.0848607
0.00090625,424.7102698
0.0009375,417.7080515
0.00096875,411.0478688
0.001,404.7028023
0.00103125,398.6487454
0.0010625,392.864105
0.00109375,387.3294983
0.001125,382.0274503
0.00115625,376.942194
0.0011875,372.0591706
0.00121875,367.3654258
0.00125,362.8491115
0.00128125,358.4991824
0.0013125,354.3058003
0.00134375,350.259829
0.001375,346.3527338
0.0014375,338.9247545
0.0015,331.9665519
0.0015625,325.4307454
0.001625,319.2762819
0.0016875,313.4673291
0.00175,307.9728761
0.0018125,302.7655219
0.001875,297.8210837
0.0019375,293.1181857
0.002,288.6377625
0.00209375,282.2977681
