Cm241,Cm241
E_eV,Sig_b
1e-05,60157.56178
1.03125e-05,59239.19414
1.0625e-05,58361.65765
1.09375e-05,57521.99543
1.125e-05,56717.56477
1.15625e-05,55945.97413
1.1875e-05,55205.05011
1.21875e-05,54492.80243
1.25e-05,53807.43895
1.28125e-05,53147.31459
1.3125e-05,52510.89639
1.34375e-05,51896.82145
1.375e-05,51303.79696
1.4375e-05,50176.30934
1.5e-05,49120.04015
1.5625e-05,48127.80678
1.625e-05,47193.38923
1.6875e-05,46311.37504
1.75e-05,45477.05317
1.8125e-05,44686.26098
1.875e-05,43935.35612
1.9375e-05,43221.07651
2e-05,42540.5603
2.09375e-05,41577.50207
2.1875e-05,40677.03946
2.28125e-05,39832.67633
2.375e-05,39038.81711
2.46875e-05,38290.62369
2.5625e-05,37583.8784
2.65625e-05,36914.89688
2.75e-05,36280.41506
2.84375e-05,35677.58412
2.9375e-05,35103.84743
3.03125e-05,34556.93556
3.125e-05,34034.83122
3.21875e-05,33535.70925
3.3125e-05,33057.92561
3.40625e-05,32600.01336
3.5e-05,32160.62766
3.59375e-05,31738.54673
3.6875e-05,31332.67388
3.78125e-05,30941.99046
3.875e-05,30565.57289
3.96875e-05,30202.56864
4.0625e-05,29852.2082
4.25e-05,29186.60603
4.4375e-05,28563.64416
4.625e-05,27978.97184
4.8125e-05,27428.8107
5e-05,26909.9027
5.15625e-05,26499.27452
5.3125e-05,26106.90846
5.46875e-05,25731.48371
5.625e-05,25371.81253
5.78125e-05,25026.81724
5.9375e-05,24695.54324
6.09375e-05,24377.09398
6.25e-05,24070.66396
6.40625e-05,23775.50972
6.5625e-05,23490.96784
6.71875e-05,23216.41593
6.875e-05,22951.26765
7.1875e-05,22447.16868
7.5e-05,21974.91361
7.8125e-05,21531.29345
8.125e-05,21113.52551
8.4375e-05,20719.1833
8.75e-05,20346.16653
9.0625e-05,19992.62307
9.375e-05,19656.89992
9.6875e-05,19337.56521
0.0001,19033.32216
0.000103125,18743.01906
0.00010625,18465.6133
0.000109375,18200.18931
0.0001125,17945.90661
0.000115625,17701.99973
0.00011875,17467.79227
0.000121875,17242.65084
0.000125,17026.00013
0.000128125,16817.33181
0.00013125,16616.16661
0.000134375,16422.06126
0.0001375,16234.60854
0.00014375,15878.2071
0.00015,15544.32776
0.00015625,15230.69119
0.0001625,14935.32826
0.00016875,14656.53399
0.000175,14392.81753
0.00018125,14142.85215
0.0001875,13905.50218
0.00019375,13679.72806
0.0002,13464.62528
0.000209375,13160.21066
0.00021875,12875.59172
0.000228125,12608.69436
0.0002375,12357.76463
0.000246875,12121.2667
0.00025625,11897.87287
0.000265625,11686.41153
0.000275,11485.85714
0.000284375,11295.30324
0.00029375,11113.94742
0.000303125,10941.06932
0.0003125,10776.03061
0.000321875,10618.25602
0.00033125,10467.22827
0.000340625,10322.47616
0.00035,10183.58047
0.000359375,10050.15702
0.00036875,9921.85164
0.000378125,9798.34818
0.0003875,9679.35451
0.000396875,9564.60151
0.00040625,9453.84405
0.000425,9243.42439
0.00044375,9046.48381
0.0004625,8861.6437
0.00048125,8687.71055
0.0005,8523.65391
0.000515625,8393.83096
0.00053125,8269.778
0.000546875,8151.07786
0.0005625,8037.35839
0.000578125,7928.27845
0.00059375,7823.53393
0.000609375,7722.84171
0.000625,7625.9497
0.000640625,7532.62381
0.00065625,7442.64897
0.000671875,7355.83209
0.0006875,7271.99111
0.00071875,7112.58364
0.00075,6963.24211
0.00078125,6822.95119
0.0008125,6690.83257
0.00084375,6566.12099
0.000875,6448.15025
0.00090625,6336.33313
0.0009375,6230.1525
0.00096875,6129.15119
0.001,6032.91909
0.00103125,5941.09529
0.0010625,5853.35099
0.00109375,5769.3945
0.001125,5688.95875
0.00115625,5611.80557
0.0011875,5537.7169
0.00121875,5466.49568
0.00125,5397.96167
0.00128125,5331.94952
0.0013125,5268.308
0.00134375,5206.89986
0.001375,5147.59497
0.0014375,5034.83952
0.0015,4929.20406
0.0015625,4829.9694
0.001625,4736.51289
0.0016875,4648.2953
0.00175,4564.84492
0.0018125,4485.74557
0.001875,4410.63325
0.0019375,4339.1839
0.002,4271.10735
0.00209375,4174.76358
0.0021875,4084.6777
0.00228125,4000.20036
0.002375,3920.77235
0.00246875,3845.91098
0.0025625,3775.19486
0.00265625,3708.25363
0.00275,3644.76513
0.00284375,3584.44061
0.0029375,3527.02741
0.00303125,3472.2979
0.003125,3420.04925
0.00321875,3370.10102
0.0033125,3322.28699
0.00340625,3276.46142
0.0035,3232.48901
0.00359375,3190.24733
0.0036875,3149.62806
0.00378125,3110.52719
0.003875,3072.8543
0.00396875,3036.52328
0.0040625,3001.45611
0.00425,2934.83432
0.0044375,2872.47794
0.004625,2813.95002
0.0048125,2758.87379
0.005,2706.92492
0.00515625,2665.81442
0.0053125,2626.53152
0.00546875,2588.9434
0.005625,2552.93225
0.00578125,2518.39225
0.0059375,2485.2241
0.00609375,2453.34118
0.00625,2422.66087
0.00640625,2393.10998
0.0065625,2364.6211
0.00671875,2337.13181
0.006875,2310.58371
0.0071875,2260.10816
0.0075,2212.81881
0.0078125,2168.39172
0.008125,2126.54876
0.0084375,2087.0504
0.00875,2049.68372
0.0090625,2014.26471
0.009375,1980.63025
0.0096875,1948.63622
0.01,1918.15221
0.0103125,1889.06601
0.010625,1861.27231
0.0109375,1834.6789
0.01125,1809.20157
0.0115625,1784.76583
0.011875,1761.30215
0.0121875,1738.74804
0.0125,1717.04609
0.0128125,1696.14339
0.013125,1675.99305
0.0134375,1656.54856
0.01375,1637.77121
0.014375,1602.06823
0.015,1568.61661
0.015625,1537.18711
0.01625,1507.58413
0.016875,1479.63835
0.0175,1453.20016
0.018125,1428.14166
0.01875,1404.34482
0.019375,1381.70936
0.02,1360.14315
0.0206625,1338.35755
0.021325,1317.59421
0.0219875,1297.77192
0.02265,1278.82077
0.0233125,1260.67487
0.023975,1243.2767
0.0246375,1226.57437
0.0253,1210.51928
0.02645782,1183.89411
0.02761563,1158.93292
0.02877344,1135.4774
0.02993125,1113.39155
0.03108907,1092.55305
0.03224688,1072.8518
0.03340469,1054.1865
0.0345625,1036.46663
0.03552735,1022.36459
0.03649219,1008.82368
0.03745704,995.80768
0.03842188,983.2842
0.03938673,971.22345
0.04035157,959.5986
0.04131641,948.38398
0.04228125,937.55627
0.04421094,916.97649
0.04614063,897.70476
0.04807032,879.60837
0.05,862.57242
0.0515625,849.48638
0.053125,836.98316
0.0546875,825.02086
0.05625,813.56167
0.0578125,802.57121
0.059375,792.01875
0.0609375,781.87611
0.0625,772.11848
0.0640625,762.72286
0.065625,753.66825
0.0671875,744.93465
0.06875,736.50246
0.071875,720.46931
0.075,705.44088
0.078125,691.31818
0.08125,678.01811
0.084375,665.46535
0.0875,653.59291
0.090625,642.34139
0.09375,631.65868
0.096875,621.49839
0.1,611.81921
0.103125,602.5844
0.10625,593.76111
0.109375,585.31945
0.1125,577.23288
0.115625,569.47713
0.11875,562.03028
0.121875,554.87229
0.125,547.98538
0.128125,541.35359
0.13125,534.96324
0.134375,528.8015
0.1375,522.85433
0.14375,511.54402
0.15,500.93634
0.15625,490.96864
0.1625,481.58281
0.16875,472.72463
0.175,464.34649
0.18125,456.40659
0.1875,448.86867
0.19375,441.70302
0.2,434.88332
0.209375,425.2298
0.21875,416.19355
0.228125,407.71977
0.2375,399.75407
0.246875,392.24763
0.25625,385.15807
0.265625,378.44808
0.275,372.08513
0.284375,366.04018
0.29375,360.28778
0.303125,354.80492
0.3125,349.5712
0.321875,344.56834
0.33125,339.77993
0.340625,335.19108
0.35,330.78823
0.359375,326.55915
0.36875,322.49279
0.378125,318.57895
0.3875,314.80865
0.396875,311.17609
0.40625,307.67746
0.425,301.02352
0.44375,294.78345
0.4625,288.92729
0.5,278.23952
0.53125,270.21555
0.5625,262.85373
0.59375,256.08278
0.625,249.82761
0.6875,238.62543
0.75,228.85819
0.8125,220.24357
0.875,212.58704
0.9375,205.71065
1.0,199.47048
1.05,194.97953
1.05625,194.72338
1.0625,195.13683
1.065625,195.8787
1.06875,197.22193
1.071875,199.41309
1.073438,200.91526
1.075,202.73722
1.076563,204.91878
1.078125,207.49326
1.079688,210.49703
1.08125,213.95469
1.082813,217.89281
1.084375,222.32084
1.085938,227.24926
1.0875,232.66623
1.089063,238.56192
1.090625,244.89984
1.09375,258.74438
1.096875,273.74658
1.099999,289.31298
1.100001,289.32296
1.100376,291.19877
1.10075,293.06724
1.101499,296.79712
1.102996,304.17273
1.10599,318.36757
1.108984,331.41635
1.111978,342.94493
1.114972,352.72918
1.117966,360.69806
1.12096,366.91634
1.123954,371.55135
1.126948,374.83406
1.129942,377.02054
1.13593,379.07863
1.141918,379.3421
1.147906,378.81298
1.171859,375.21591
1.195811,371.54485
1.291621,357.91715
1.387431,345.74919
1.48324,334.76666
1.61243,321.45883
1.74162,309.66935
1.87081,299.13845
2.0,289.64589
2.125,281.30715
2.25,273.67718
2.375,266.65884
2.5,260.17449
2.75,248.56072
3.0,238.43267
3.25,229.49019
3.5,221.53328
3.75,214.38733
4.0,207.91501
4.25,202.02356
4.5,196.63116
4.75,191.6711
5.0,187.08827
5.25,182.83355
5.5,178.87283
5.75,175.17368
6.0,171.70892
6.25,168.45437
6.5,165.38994
6.75,162.49771
7.0,159.764081
7.75,152.363424
8.5,145.965365
9.25,140.363904
10.0,135.408307
11.03553,129.449387
12.07105,124.278511
13.10658,119.736522
14.1421,115.705355
15.60658,110.620648
17.07105,106.203124
18.53553,102.320006
20.0,98.873037
21.25,96.238248
22.5,93.82627
23.75,91.607955
25.0,89.558732
27.5,85.88915
30.0,82.689851
32.5,79.86258
35.0,77.345826
37.5,75.086123
40.0,73.041673
42.5,71.18108
45.0,69.478379
47.5,67.91245
50.0,66.465896
52.5,65.121512
55.0,63.87023
57.5,62.701812
60.0,61.607518
62.5,60.579861
65.0,59.612324
67.5,58.699306
70.0,57.836017
77.5,55.498272
85.0,53.478399
92.5,51.710608
100.0,50.146816
110.3553,48.288284
120.7105,46.677259
131.0658,45.26346
141.421,44.009627
156.0658,42.383417
170.7105,40.970416
185.3553,39.727955
200.0,38.624456
212.5,37.794757
225.0,37.035521
237.5,36.337251
250.0,35.692223
275.0,34.537249
300.0,33.530336
325.0,32.642838
350.0,31.852594
375.0,31.142974
400.0,30.501077
425.0,29.916856
450.0,29.382133
