Cu63,Cu63
E_eV,Sig_b
1e-05,261.79479
1.03125e-05,257.80695
1.0625e-05,253.99643
1.09375e-05,250.35054
1.125e-05,246.85776
1.15625e-05,243.50774
1.1875e-05,240.29095
1.21875e-05,237.19879
1.25e-05,234.22336
1.28125e-05,231.35766
1.3125e-05,228.59497
1.34375e-05,225.92934
1.375e-05,223.3551
1.4375e-05,218.46119
1.5e-05,213.87682
1.5625e-05,209.57052
1.625e-05,205.51551
1.6875e-05,201.68811
1.75e-05,198.06795
1.8125e-05,194.6369
1.875e-05,191.37904
1.9375e-05,188.28039
2e-05,185.32831
2.09375e-05,181.15099
2.1875e-05,177.2456
2.28125e-05,173.5839
2.375e-05,170.1415
2.46875e-05,166.89745
2.5625e-05,163.8334
2.65625e-05,160.9334
2.75e-05,158.18318
2.84375e-05,155.57051
2.9375e-05,153.08413
3.03125e-05,150.71418
3.125e-05,148.45202
3.21875e-05,146.28965
3.3125e-05,144.21987
3.40625e-05,142.23639
3.5e-05,140.3334
3.59375e-05,138.50546
3.6875e-05,136.74799
3.78125e-05,135.05639
3.875e-05,133.4267
3.96875e-05,131.8553
4.0625e-05,130.33872
4.25e-05,127.45801
4.4375e-05,124.7625
4.625e-05,122.23303
4.8125e-05,119.85333
5e-05,117.60932
5.15625e-05,115.83388
5.3125e-05,114.13763
5.46875e-05,112.51489
5.625e-05,110.9605
5.78125e-05,109.4698
5.9375e-05,108.03859
6.09375e-05,106.663
6.25e-05,105.33956
6.40625e-05,104.06504
6.5625e-05,102.83652
6.71875e-05,101.65129
6.875e-05,100.5069
7.1875e-05,98.33163
7.5e-05,96.29444
7.8125e-05,94.38137
8.125e-05,92.58033
8.4375e-05,90.88085
8.75e-05,89.27376
9.0625e-05,87.75102
9.375e-05,86.30553
9.6875e-05,84.93099
0.0001,83.62181
0.000103125,82.37299
0.00010625,81.18006
0.000109375,80.03897
0.0001125,78.94612
0.000115625,77.89819
0.00011875,76.89221
0.000121875,75.92549
0.000125,74.99552
0.000128125,74.10007
0.00013125,73.23704
0.000134375,72.40455
0.0001375,71.60085
0.00014375,70.07348
0.00015,68.64344
0.00015625,67.30088
0.0001625,66.03727
0.00016875,64.84522
0.000175,63.718267
0.00018125,62.650724
0.0001875,61.63758
0.00019375,60.674411
0.0002,59.757259
0.000209375,58.460207
0.00021875,57.248449
0.000228125,56.113097
0.0002375,55.046496
0.000246875,54.042041
0.00025625,53.093962
0.000265625,52.197223
0.000275,51.347373
0.000284375,50.540517
0.00029375,49.77317
0.000303125,49.042245
0.0003125,48.344965
0.000321875,47.678846
0.00033125,47.041672
0.000340625,46.431404
0.00035,45.846229
0.000359375,45.284487
0.00036875,44.74468
0.000378125,44.225415
0.0003875,43.725436
0.000396875,43.243591
0.00040625,42.778831
0.000425,41.896702
0.00044375,41.072124
0.0004625,40.299151
0.00048125,39.572669
0.0005,38.888232
0.000515625,38.347191
0.00053125,37.830679
0.000546875,37.336911
0.0005625,36.86429
0.000578125,36.411362
0.00059375,35.9768
0.000609375,35.559412
0.000625,35.158121
0.000640625,34.771912
0.00065625,34.39988
0.000671875,34.04118
0.0006875,33.695047
0.00071875,33.037697
0.00075,32.422785
0.00078125,31.84596
0.0008125,31.303486
0.00084375,30.792111
0.000875,30.309005
0.00090625,29.85167
0.0009375,29.417917
0.00096875,29.005797
0.001,28.613599
0.00103125,28.239765
0.0010625,27.882925
0.00109375,27.541849
0.001125,27.215398
0.00115625,26.90257
0.0011875,26.602462
0.00121875,26.314222
0.00125,26.037116
0.00128125,25.770429
0.0013125,25.513541
0.00134375,25.26586
0.001375,25.026868
0.0014375,24.572987
0.0015,24.148379
0.0015625,23.750073
0.001625,23.375453
0.0016875,23.022271
0.00175,22.688581
0.0018125,22.372666
0.001875,22.072996
0.0019375,21.788233
