Cd115_m1,Cd115_m1
E_eV,Sig_b
1e-05,279.85515
1.03125e-05,275.59422
1.0625e-05,271.52284
1.09375e-05,267.62746
1.125e-05,263.89563
1.15625e-05,260.3163
1.1875e-05,256.87943
1.21875e-05,253.57566
1.25e-05,250.39671
1.28125e-05,247.33497
1.3125e-05,244.38328
1.34375e-05,241.53535
1.375e-05,238.78511
1.4375e-05,233.55663
1.5e-05,228.6588
1.5625e-05,224.05832
1.625e-05,219.72619
1.6875e-05,215.63727
1.75e-05,211.76982
1.8125e-05,208.10454
1.875e-05,204.62425
1.9375e-05,201.31414
2e-05,198.16068
2.09375e-05,193.69828
2.1875e-05,189.52652
2.28125e-05,185.61509
2.375e-05,181.93808
2.46875e-05,178.47299
2.5625e-05,175.2003
2.65625e-05,172.10272
2.75e-05,169.16535
2.84375e-05,166.37476
2.9375e-05,163.71913
3.03125e-05,161.1881
3.125e-05,158.7721
3.21875e-05,156.46262
3.3125e-05,154.25228
3.40625e-05,152.13403
3.5e-05,150.1017
3.59375e-05,148.14966
3.6875e-05,146.27284
3.78125e-05,144.46641
3.875e-05,142.72615
3.96875e-05,141.04812
4.0625e-05,139.42877
4.25e-05,136.35272
4.4375e-05,133.47451
4.625e-05,130.77377
4.8125e-05,128.23299
5e-05,125.83715
5.15625e-05,123.94159
5.3125e-05,122.13065
5.46875e-05,120.39828
5.625e-05,118.73887
5.78125e-05,117.14745
5.9375e-05,115.61961
6.09375e-05,114.15128
6.25e-05,112.73851
6.40625e-05,111.37798
6.5625e-05,110.06668
6.71875e-05,108.80158
6.875e-05,107.58009
7.1875e-05,105.25834
7.5e-05,103.08405
7.8125e-05,101.04229
8.125e-05,99.12019
8.4375e-05,97.30653
8.75e-05,95.591531
9.0625e-05,93.96659
9.375e-05,92.424125
9.6875e-05,90.957423
0.0001,89.5605
0.000103125,88.228019
0.00010625,86.955196
0.000109375,85.73772
0.0001125,84.571729
0.000115625,83.453696
0.00011875,82.380451
0.000121875,81.349083
0.000125,80.356964
0.000128125,79.401674
0.00013125,78.480994
0.000134375,77.592913
0.0001375,76.735541
0.00014375,75.106199
0.00015,73.580729
0.00015625,72.148596
0.0001625,70.800698
0.00016875,69.52914
0.000175,68.327017
0.00018125,67.188273
0.0001875,66.107561
0.00019375,65.080134
0.0002,64.101789
0.000209375,62.71817
0.00021875,61.425497
0.000228125,60.21428
0.0002375,59.076377
0.000246875,58.004705
0.00025625,56.99314
0.000265625,56.036279
0.000275,55.129405
0.000284375,54.26834
0.00029375,53.449377
0.000303125,52.669216
0.0003125,51.924907
0.000321875,51.213796
0.00033125,50.533513
0.000340625,49.881907
0.00035,49.257016
0.000359375,48.657092
0.00036875,48.080514
0.000378125,47.525829
0.0003875,46.991687
0.000396875,46.476858
0.00040625,45.980209
0.000425,45.037392
0.00044375,44.155847
0.0004625,43.329258
0.00048125,42.552171
0.0005,41.819854
0.000515625,41.240811
0.00053125,40.687883
0.000546875,40.159174
0.0005625,39.652974
0.000578125,39.167743
0.00059375,38.702087
0.000609375,38.254709
0.000625,37.824474
0.000640625,37.410302
0.00065625,37.011231
0.000671875,36.626367
0.0006875,36.254891
0.00071875,35.549135
0.00075,34.88859
0.00078125,34.268651
0.0008125,33.68532
0.00084375,33.135161
0.000875,32.615148
0.00090625,32.122635
0.0009375,31.655288
0.00096875,31.211051
0.001,30.788067
0.00103125,30.384711
0.0010625,29.999512
0.00109375,29.631156
0.001125,29.278442
0.00115625,28.940303
0.0011875,28.615772
0.00121875,28.303946
0.00125,28.004038
0.00128125,27.715295
0.0013125,27.437047
0.00134375,27.168681
0.001375,26.909614
0.0014375,26.417353
0.0015,25.95652
0.0015625,25.523922
0.001625,25.116793
0.0016875,24.732731
0.00175,24.369636
0.0018125,24.02568
0.001875,23.69923
0.0019375,23.388869
0.002,23.093295
0.00209375,22.67525
0.0021875,22.284603
0.00228125,21.918515
0.002375,21.574507
0.00246875,21.250448
0.0025625,20.944487
0.00265625,20.654998
0.00275,20.380562
0.00284375,20.119918
0.0029375,19.871952
0.00303125,19.635666
0.003125,19.410174
0.00321875,19.194667
0.0033125,18.988459
0.00340625,18.790865
0.0035,18.601334
0.00359375,18.419307
0.0036875,18.244328
0.00378125,18.07593
0.003875,17.913719
0.00396875,17.757324
0.0040625,17.606423
0.00425,17.31981
0.0044375,17.051669
0.004625,16.800108
0.0048125,16.563466
0.005,16.340339
0.00515625,16.16383
0.0053125,15.995195
0.00546875,15.833889
0.005625,15.679376
0.00578125,15.531213
0.0059375,15.388957
0.00609375,15.25223
0.00625,15.12069
0.00640625,14.994015
0.0065625,14.871909
0.00671875,14.754107
0.006875,14.64036
0.0071875,14.424137
0.0075,14.221623
0.0078125,14.031425
0.008125,13.852344
0.0084375,13.683337
0.00875,13.523493
0.0090625,13.372013
0.009375,13.228193
0.0096875,13.091408
0.01,12.961105
0.0103125,12.836787
0.010625,12.718009
0.0109375,12.604374
0.01125,12.49552
0.0115625,12.391121
0.011875,12.29088
0.0121875,12.19453
0.0125,12.101824
0.0128125,12.012538
0.013125,11.926465
0.0134375,11.843416
0.01375,11.763219
0.014375,11.610748
0.015,11.467913
0.015625,11.333736
0.01625,11.207373
0.016875,11.088093
0.0175,10.975258
0.018125,10.868307
0.01875,10.766745
0.019375,10.670136
0.02,10.578089
0.0206625,10.485113
0.021325,10.396501
0.0219875,10.311921
0.02265,10.231077
0.0233125,10.153701
0.023975,10.07955
0.0246375,10.008406
0.0253,9.940072
0.02645782,9.826861
0.02761563,9.720837
0.02877344,9.62127
0.02993125,9.527528
0.03108907,9.439064
0.03224688,9.355395
0.03340469,9.276099
0.0345625,9.200801
0.03552735,9.140866
0.03649219,9.083308
0.03745704,9.027972
0.03842188,8.974718
0.03938673,8.923417
0.04035157,8.873956
0.04131641,8.826224
0.04228125,8.780126
0.04421094,8.692468
0.04614063,8.610334
0.04807032,8.533165
0.05,8.460475
0.0515625,8.404611
0.053125,8.35121
0.0546875,8.300096
0.05625,8.251109
0.0578125,8.204107
0.059375,8.158958
0.0609375,8.115544
0.0625,8.073757
0.0640625,8.033498
0.065625,7.994676
0.0671875,7.957206
0.06875,7.921006
0.071875,7.852133
0.075,7.787538
0.078125,7.72679
0.08125,7.669523
0.084375,7.615417
0.0875,7.564192
0.090625,7.5156
0.09375,7.469421
0.096875,7.425458
0.1,7.383537
0.103125,7.343503
0.10625,7.305216
0.109375,7.268552
0.1125,7.233395
0.115625,7.199646
0.11875,7.167211
0.121875,7.136006
0.125,7.105958
0.128125,7.076997
0.13125,7.049061
0.134375,7.022089
0.1375,6.996023
0.14375,6.946392
0.15,6.899787
0.15625,6.855912
0.1625,6.814517
0.16875,6.775374
0.175,6.738287
0.18125,6.703073
0.1875,6.669578
0.19375,6.637664
0.2,6.607216
0.2046875,6.585279
0.209375,6.564065
0.21875,6.523622
0.228125,6.485575
0.2375,6.449699
0.246875,6.4158
0.25625,6.3837
0.265625,6.35324
0.275,6.324283
0.284375,6.296703
0.29375,6.270392
0.303125,6.245251
0.3125,6.221193
0.321875,6.19814
0.33125,6.176021
0.340625,6.154773
0.35,6.134336
0.359375,6.114661
0.36875,6.095697
0.378125,6.077402
0.3875,6.059735
0.396875,6.04266
0.40625,6.026143
0.415625,6.010156
0.425,5.99467
0.434375,5.979667
0.44375,5.965121
0.4625,5.937266
0.5,5.8860264
0.53125,5.8472498
0.5625,5.8114342
0.59375,5.7782727
0.625,5.7474391
0.65625,5.7186615
0.6875,5.6917113
0.75,5.6425403
0.8125,5.598683
0.875,5.5593008
0.9375,5.5235697
1.0,5.490846
1.0625,5.4607913
1.125,5.433048
1.1875,5.4073236
1.25,5.3833753
1.3125,5.3610001
