,elements
0,Fm
1,Sr
2,Cl
3,Ho
4,Cr
5,Zr
6,Gd
7,Ba
8,Tc
9,Tm
10,Dy
11,Sm
12,Cf
13,W
14,Cd
15,P
16,K
17,Re
18,Pa
19,As
20,Mg
21,Nb
22,H
23,C
24,Nd
25,Cm
26,Cu
27,Ca
28,Ar
29,Kr
30,Sc
31,Ge
32,Pr
33,Co
34,U
35,Y
36,Ra
37,Ti
38,N
39,Si
40,Lu
41,Ni
42,Br
43,Te
44,Am
45,Zn
46,Na
47,Er
48,Al
49,O
50,Tl
51,Au
52,Hg
53,Pm
54,In
55,Ta
56,Sn
57,Mn
58,Ag
59,Fe
60,I
61,Ir
62,Bi
63,Cs
64,Rb
65,Ru
66,Th
67,Bk
68,Ce
69,Es
70,Be
71,B
72,Pd
73,S
74,Eu
75,Sb
76,Pu
77,Ac
78,F
79,Rh
80,V
81,Xe
82,He
83,Hf
84,Tb
85,Ga
86,La
87,Se
88,Pb
89,Np
90,Li
91,Mo
