,elements
0,Ac
1,Ag
2,Al
3,Am
4,Ar
5,As
6,Au
7,B
8,Ba
9,Be
10,Bi
11,Bk
12,Br
13,C
14,Ca
15,Cd
16,Ce
17,Cf
18,Cl
19,Cm
20,Co
21,Cr
22,Cs
23,Cu
24,Dy
25,Er
26,Es
27,Eu
28,F
29,Fe
30,Fm
31,Ga
32,Gd
33,Ge
34,H
35,He
36,Hf
37,Hg
38,Ho
39,I
40,In
41,Ir
42,K
43,Kr
44,La
45,Li
46,Lu
47,Mg
48,Mn
49,Mo
50,N
51,Na
52,Nb
53,Nd
54,Ne
55,Ni
56,Np
57,O
58,Os
59,P
60,Pa
61,Pb
62,Pd
63,Pm
64,Po
65,Pr
66,Pt
67,Pu
68,Ra
69,Rb
70,Re
71,Rh
72,Ru
73,S
74,Sb
75,Sc
76,Se
77,Si
78,Sm
79,Sn
80,Sr
81,Ta
82,Tb
83,Tc
84,Te
85,Th
86,Ti
87,Tl
88,Tm
89,U
90,V
91,W
92,Xe
93,Y
94,Yb
95,Zn
96,Zr
